# 稳定点数据 | 2026-03-31 17:09:02
index,cmd_x,cmd_y,cmd_z,cmd_rx,cmd_ry,cmd_rz,end_j1,end_j2,end_j3,end_j4,end_j5,end_j6,end_x,end_y,end_z,end_rx,end_ry,end_rz
1,-0.786568,-0.178783,0.713437,-1.294210,-1.257792,1.141907,0.021166,-1.357363,1.567714,-3.254997,-1.624482,0.002042,-0.786563,-0.178759,0.713473,-1.294139,-1.257788,1.141902
2,-0.673415,-0.290956,0.743420,-1.258280,-1.151690,1.138840,0.217319,-1.454576,1.643627,-3.319224,-1.880696,0.001088,-0.673363,-0.290971,0.743445,-1.258250,-1.151589,1.138866
3,-0.660432,-0.262301,0.838473,-1.254834,-1.245789,1.176367,0.163968,-1.526916,1.546843,-3.103166,-1.746321,0.007877,-0.660410,-0.262326,0.838453,-1.254899,-1.245842,1.176422
4,-0.731402,-0.137189,0.856861,-1.089598,-1.290003,1.359001,-0.070299,-1.462290,1.462463,-3.194175,-1.336951,0.009292,-0.731346,-0.137222,0.856943,-1.089501,-1.289932,1.359104
5,-0.640490,-0.153524,0.829936,-1.339771,-1.134135,1.055219,0.003348,-1.616679,1.648626,-3.100273,-1.744391,0.010957,-0.640432,-0.153496,0.829971,-1.339719,-1.133993,1.055247
6,-0.788952,-0.025809,0.800159,-1.075090,-1.129565,1.316035,-0.210079,-1.359259,1.455607,-3.393618,-1.317776,0.035965,-0.788984,-0.025819,0.800090,-1.075214,-1.129592,1.315995
7,-0.778172,-0.319563,0.771776,-1.339469,-1.236023,1.092488,0.223669,-1.307080,1.396246,-3.102346,-1.876844,0.035251,-0.778139,-0.319536,0.771849,-1.339389,-1.235898,1.092484
8,-0.757636,-0.198363,0.895200,-1.236464,-1.092670,1.133536,0.064748,-1.382695,1.301082,-3.097500,-1.762918,-0.010794,-0.757654,-0.198389,0.895164,-1.236464,-1.092743,1.133479
9,-0.756488,-0.296308,0.713944,-1.221378,-1.151971,1.174895,0.195954,-1.312779,1.531028,-3.380684,-1.828922,-0.008580,-0.756482,-0.296273,0.713964,-1.221343,-1.151884,1.174883
10,-0.523145,-0.064253,0.709932,-1.315961,-1.420357,1.155695,-0.260697,-1.875051,2.043798,-3.093722,-1.245560,-0.069904,-0.523111,-0.064250,0.709963,-1.315874,-1.420297,1.155705
11,-0.720032,-0.285000,0.753237,-1.069614,-1.115163,1.315231,0.176381,-1.361875,1.543313,-3.488654,-1.706877,-0.025882,-0.720028,-0.285028,0.753204,-1.069652,-1.115196,1.315207
12,-0.851281,-0.221374,0.744914,-1.151991,-1.192888,1.261327,0.067899,-1.213988,1.350540,-3.333536,-1.607017,-0.006175,-0.851294,-0.221392,0.744908,-1.152050,-1.192839,1.261330
13,-0.696594,-0.196654,0.651958,-1.354672,-1.381876,1.112993,0.045806,-1.490990,1.810907,-3.246133,-1.600665,0.004454,-0.696559,-0.196666,0.651971,-1.354666,-1.381951,1.112916
14,-0.562870,0.004274,0.745925,-1.075498,-1.196793,1.343777,-0.391151,-1.739752,1.934755,-3.466752,-1.080963,0.060997,-0.562849,0.004306,0.745888,-1.075525,-1.196745,1.343718
15,-0.558929,-0.155079,0.744148,-1.266267,-1.179610,1.142241,-0.011437,-1.735027,1.911363,-3.285277,-1.634704,0.001419,-0.558888,-0.155093,0.744184,-1.266150,-1.179558,1.142248
16,-0.859409,-0.013197,0.818568,-1.272021,-1.192062,1.141373,-0.193210,-1.282300,1.296576,-3.111125,-1.446691,-0.009685,-0.859361,-0.013192,0.818628,-1.271870,-1.192039,1.141373
17,-0.860679,-0.149350,0.746072,-1.290651,-1.244922,1.141411,-0.017803,-1.254866,1.380166,-3.179707,-1.593093,-0.002009,-0.860676,-0.149330,0.746054,-1.290758,-1.244904,1.141352
18,-0.690961,-0.352649,0.897121,-1.231923,-1.115891,1.148802,0.303470,-1.380620,1.293914,-3.087620,-1.977100,-0.016327,-0.690919,-0.352654,0.897149,-1.231843,-1.115832,1.148781
19,-0.753814,-0.068563,0.862862,-1.349017,-1.334157,1.109294,-0.148069,-1.481164,1.431813,-2.906230,-1.441343,-0.027371,-0.753828,-0.068515,0.862856,-1.348951,-1.334111,1.109124
20,-0.772326,-0.204997,0.706602,-0.999828,-1.087081,1.378899,0.045183,-1.295270,1.551643,-3.633001,-1.536083,0.004778,-0.772307,-0.204977,0.706565,-0.999877,-1.087083,1.378874
21,-0.823572,-0.186425,0.801434,-1.228514,-1.158722,1.170672,0.034858,-1.290028,1.345636,-3.207270,-1.667926,-0.004988,-0.823590,-0.186457,0.801388,-1.228495,-1.158866,1.170571
22,-0.641816,-0.142146,0.880612,-1.405777,-1.202256,1.021110,-0.019253,-1.634012,1.559590,-2.902560,-1.710675,0.021273,-0.641857,-0.142147,0.880530,-1.405912,-1.202301,1.021080
23,-0.523070,-0.004027,0.714126,-1.241538,-1.225253,1.182717,-0.385687,-1.844908,2.048018,-3.306301,-1.202999,-0.013683,-0.523071,-0.004003,0.714085,-1.241501,-1.225333,1.182638
24,-0.790393,-0.198554,0.774056,-1.137479,-1.255907,1.298249,0.032742,-1.336353,1.456357,-3.293936,-1.508590,-0.001424,-0.790462,-0.198489,0.773972,-1.137675,-1.255892,1.298154
25,-0.748960,-0.090027,0.941551,-1.183831,-1.168850,1.219324,-0.115438,-1.434134,1.280548,-3.029542,-1.472703,0.000652,-0.749001,-0.089949,0.941521,-1.183897,-1.168839,1.219262
26,-0.653872,-0.296657,0.842850,-1.168904,-1.384429,1.296748,0.195096,-1.522967,1.533693,-3.086502,-1.602202,-0.000439,-0.653905,-0.296623,0.842814,-1.168883,-1.384338,1.296712
27,-0.708788,-0.083524,0.688668,-1.299377,-1.079655,1.067915,-0.108513,-1.479166,1.769696,-3.420916,-1.650565,-0.001307,-0.708763,-0.083548,0.688708,-1.299179,-1.079660,1.067914
28,-0.678986,-0.256574,0.831369,-1.158579,-1.327544,1.295825,0.128726,-1.503004,1.539694,-3.153458,-1.568287,-0.002651,-0.678994,-0.256605,0.831304,-1.158635,-1.327663,1.295807
29,-0.681935,-0.032684,0.837157,-1.337375,-1.068540,1.028016,-0.195031,-1.577250,1.603619,-3.128731,-1.603013,-0.000870,-0.681939,-0.032702,0.837114,-1.337422,-1.068594,1.027902
30,-0.553146,-0.314609,0.763414,-1.178130,-1.229252,1.247575,0.288212,-1.620648,1.784155,-3.320131,-1.820862,-0.005226,-0.553143,-0.314650,0.763381,-1.178062,-1.229399,1.247556
31,-0.722910,-0.183207,0.752743,-1.271047,-1.109309,1.108260,0.045535,-1.443135,1.615801,-3.313227,-1.756294,-0.002479,-0.722877,-0.183146,0.752759,-1.271078,-1.109288,1.108116
32,-0.753942,-0.236672,0.762658,-1.112535,-1.242387,1.320193,0.089408,-1.367999,1.519541,-3.353343,-1.553873,-0.002201,-0.753912,-0.236677,0.762667,-1.112540,-1.242292,1.320178
33,-0.619986,-0.041557,0.790669,-1.123494,-1.239767,1.307747,-0.259274,-1.664882,1.782604,-3.315099,-1.218106,0.018087,-0.619958,-0.041566,0.790686,-1.123482,-1.239820,1.307766
34,-0.719775,-0.191475,0.732981,-1.190307,-1.370458,1.272283,0.018796,-1.465861,1.663928,-3.264194,-1.453871,-0.011382,-0.719704,-0.191494,0.733012,-1.190134,-1.370376,1.272241
35,-0.697061,-0.315993,0.813828,-1.195380,-1.304401,1.252411,0.222804,-1.432570,1.489537,-3.157377,-1.710857,0.002793,-0.697071,-0.315946,0.813786,-1.195447,-1.304345,1.252343
36,-0.682686,-0.131805,0.746442,-1.221551,-1.195227,1.191806,-0.056334,-1.535011,1.726640,-3.329713,-1.540675,-0.002105,-0.682721,-0.131758,0.746418,-1.221633,-1.195158,1.191704
37,-0.832753,-0.089426,0.788202,-1.146554,-1.215662,1.275352,-0.111952,-1.299169,1.386646,-3.276392,-1.404195,0.004111,-0.832786,-0.089442,0.788099,-1.146620,-1.215723,1.275322
38,-0.611276,-0.263876,0.820686,-1.186328,-1.103505,1.187999,0.191489,-1.568054,1.640979,-3.291006,-1.838127,-0.022256,-0.611215,-0.263902,0.820701,-1.186250,-1.103506,1.187997
39,-0.756400,-0.276938,0.821087,-1.229028,-1.346345,1.228355,0.149719,-1.378635,1.404476,-3.075422,-1.633771,0.002352,-0.756335,-0.276954,0.821144,-1.228964,-1.346252,1.228366
