# 轨迹段 6
# 起点关节(rad): [0.0033404530491679906, -1.6166790167437952, 1.6486234664916992, -3.100287644063131, -1.744403092061178, 0.010991032235324383]
# 终点关节(rad): [-0.21007892290224248, -1.3592590490924281, 1.4556065559387208, -3.3936179319964808, -1.317775837575094, 0.03596548438072204]
# 指令位姿: [-0.7889521272978138, -0.025808916142611105, 0.8001587245622142, -1.0750901704572424, -1.129565133691975, 1.3160348102286215]
t,j1,j2,j3,j4,j5,j6,jv1,jv2,jv3,jv4,jv5,jv6,x,y,z,rx,ry,rz,vx,vy,vz,wx,wy,wz
0.0000,0.003316,-1.616643,1.648623,-3.100324,-1.744324,0.011001,-0.014008,0.017912,-0.012834,-0.019769,0.029161,0.000015,-0.641594,-0.152877,0.829840,-1.338456,-1.134094,1.057263,-0.031753,0.018270,-0.001715,-0.011387,0.041052,0.034483
0.2922,-0.007646,-1.603388,1.638671,-3.115251,-1.722421,0.012185,-0.083428,0.103536,-0.075876,-0.115727,0.167304,0.009369,-0.654831,-0.145023,0.829111,-1.322310,-1.131460,1.082136,-0.083458,0.052777,-0.005149,-0.020462,0.118003,0.107919
0.5764,-0.038507,-1.566187,1.610698,-3.157927,-1.660678,0.015829,-0.124212,0.151371,-0.113701,-0.171303,0.251074,0.015206,-0.682312,-0.126816,0.826926,-1.284337,-1.127144,1.133576,-0.092931,0.067800,-0.010414,-0.009501,0.137289,0.123075
0.8761,-0.077378,-1.519365,1.575556,-3.211180,-1.582876,0.020424,-0.124677,0.152304,-0.113671,-0.171001,0.249721,0.014412,-0.712071,-0.104020,0.822725,-1.236876,-1.124021,1.187254,-0.088149,0.073198,-0.015303,0.005871,0.137504,0.127816
1.1914,-0.115611,-1.473316,1.540974,-3.263827,-1.506713,0.024909,-0.124081,0.149990,-0.109411,-0.172910,0.248455,0.014201,-0.736476,-0.082749,0.817663,-1.192616,-1.123252,1.229769,-0.082502,0.078003,-0.020700,0.019350,0.131482,0.126996
1.4597,-0.149679,-1.432227,1.510317,-3.310567,-1.438398,0.028879,-0.123946,0.150714,-0.113331,-0.170452,0.248578,0.014454,-0.759694,-0.059595,0.811303,-1.144271,-1.124400,1.269277,-0.079576,0.084794,-0.025964,0.034146,0.129188,0.124145
1.7494,-0.184955,-1.389705,1.478335,-3.358954,-1.368043,0.033026,-0.102800,0.123258,-0.089406,-0.142691,0.205534,0.011697,-0.779249,-0.037719,0.804213,-1.099733,-1.127330,1.300559,-0.047421,0.056439,-0.019007,0.030257,0.082436,0.081564
2.0312,-0.206755,-1.363430,1.458590,-3.389047,-1.324491,0.035438,-0.029010,0.036892,-0.026852,-0.041318,0.061006,0.004180,-0.788695,-0.026205,0.800247,-1.075769,-1.129605,1.315532,-0.003145,0.004278,-0.001289,0.001702,0.005494,0.003292
2.3229,-0.210067,-1.359286,1.455595,-3.393637,-1.317761,0.035903,0.000202,0.000000,-0.000192,0.000211,-0.000219,0.000533,-0.788972,-0.025813,0.800106,-1.075163,-1.129600,1.315950,-0.000006,-0.000062,0.000076,-0.000254,-0.000012,-0.000007
2.5936,-0.210074,-1.359259,1.455602,-3.393637,-1.317761,0.035927,0.000000,0.000000,-0.000077,0.000073,-0.000077,0.000176,-0.788980,-0.025815,0.800094,-1.075184,-1.129585,1.315955,-0.000003,0.000006,0.000037,-0.000129,0.000002,-0.000038
2.8763,-0.210067,-1.359283,1.455583,-3.393613,-1.317776,0.035951,0.000000,0.000000,-0.000043,0.000038,-0.000038,0.000065,-0.788979,-0.025829,0.800098,-1.075179,-1.129609,1.315989,-0.000002,0.000004,0.000022,-0.000063,-0.000002,-0.000029
3.1596,-0.210067,-1.359259,1.455580,-3.393608,-1.317771,0.035973,0.000000,0.000000,-0.000026,0.000019,-0.000019,0.000038,-0.788976,-0.025827,0.800106,-1.075188,-1.129593,1.315999,-0.000001,0.000002,0.000015,-0.000040,0.000005,-0.000013
