# 轨迹段 13
# 起点关节(rad): [0.06789220869541168, -1.2139784971820275, 1.3505108833312989, -3.3335354963885706, -1.6070311705218714, -0.0061753431903284195]
# 终点关节(rad): [0.045806103944778444, -1.4909902731524867, 1.8109072685241698, -3.246132961903707, -1.6006650129901332, 0.004454087186604738]
# 指令位姿: [-0.6965941271260719, -0.19665440113136862, 0.651957817809877, -1.3546724441234126, -1.3818764523626998, 1.1129933568133485]
t,j1,j2,j3,j4,j5,j6,jv1,jv2,jv3,jv4,jv5,jv6,x,y,z,rx,ry,rz,vx,vy,vz,wx,wy,wz
0.0000,0.067892,-1.214034,1.350602,-3.333526,-1.607017,-0.006190,-0.000343,-0.018707,0.027481,0.004115,0.000000,0.000000,-0.850536,-0.221293,0.744686,-1.152877,-1.193745,1.260704,0.019760,0.002826,-0.008599,0.003020,-0.038040,-0.001629
0.2584,0.067063,-1.225115,1.369084,-3.330037,-1.606914,-0.005981,-0.008534,-0.098926,0.163510,0.030062,0.003685,0.005204,-0.841118,-0.219419,0.739424,-1.167228,-1.207662,1.250674,0.062390,0.012000,-0.031318,0.002975,-0.119644,-0.005121
0.5501,0.064085,-1.261262,1.429053,-3.318737,-1.605938,-0.004500,-0.012571,-0.149944,0.253143,0.048198,0.004146,0.008878,-0.819541,-0.215354,0.728053,-1.198037,-1.236997,1.229336,0.079316,0.013928,-0.045420,0.006201,-0.148206,-0.005064
0.8578,0.060272,-1.307423,1.506054,-3.304013,-1.604904,-0.002711,-0.011919,-0.149507,0.248646,0.047066,0.003367,0.005975,-0.795416,-0.211189,0.714615,-1.230714,-1.267972,1.205993,0.082300,0.012886,-0.048128,0.005437,-0.146530,-0.006349
1.1478,0.056939,-1.351287,1.578841,-3.290361,-1.603892,-0.001016,-0.011344,-0.151023,0.249418,0.048271,0.004636,0.007014,-0.772124,-0.207565,0.700789,-1.261320,-1.296716,1.183981,0.085607,0.013070,-0.051246,0.002393,-0.144623,-0.006226
1.4291,0.053687,-1.393659,1.649177,-3.276837,-1.602979,0.000570,-0.012630,-0.149576,0.252143,0.047438,0.004360,0.008909,-0.746848,-0.203706,0.685025,-1.293513,-1.326574,1.159809,0.087879,0.013600,-0.056976,-0.000835,-0.147592,-0.009369
1.7074,0.050148,-1.435552,1.718789,-3.263832,-1.602008,0.002299,-0.012793,-0.150169,0.249433,0.048121,0.005994,0.007421,-0.721716,-0.199941,0.668751,-1.324595,-1.354641,1.136176,0.088334,0.012202,-0.059140,0.000792,-0.143447,-0.007860
2.0048,0.046947,-1.475329,1.784938,-3.251080,-1.601049,0.003761,-0.005699,-0.086808,0.139487,0.025598,0.001756,0.003662,-0.701573,-0.197330,0.655487,-1.348537,-1.376461,1.117594,0.034542,0.004343,-0.025204,-0.000181,-0.056305,-0.003084
2.2865,0.045924,-1.490829,1.810581,-3.246409,-1.600778,0.004413,-0.000734,-0.001987,0.003487,0.001108,0.000307,0.000407,-0.696468,-0.196712,0.652020,-1.354435,-1.381793,1.113033,-0.000126,-0.000000,-0.000447,-0.000191,-0.000869,0.000199
2.5803,0.045823,-1.491086,1.810962,-3.246375,-1.600699,0.004452,-0.000187,0.000079,0.000123,0.000096,0.000226,0.000115,-0.696500,-0.196677,0.652014,-1.354537,-1.381838,1.112991,-0.000155,0.000057,-0.000122,-0.000091,-0.001050,0.000007
2.8671,0.045823,-1.491007,1.810905,-3.246176,-1.600682,0.004449,-0.000064,0.000000,-0.000141,0.000199,0.000073,0.000084,-0.696551,-0.196675,0.651961,-1.354656,-1.381949,1.112908,-0.000043,0.000038,0.000089,-0.000084,-0.000008,-0.000023
3.1474,0.045816,-1.491000,1.810912,-3.246128,-1.600672,0.004454,-0.000064,0.000000,-0.000123,0.000123,0.000038,0.000038,-0.696566,-0.196669,0.651963,-1.354654,-1.381968,1.112890,-0.000026,0.000031,0.000050,-0.000046,0.000003,-0.000022
