# 轨迹段 14
# 起点关节(rad): [0.04579412043094635, -1.4909879843341272, 1.8108857154846192, -3.24621450105776, -1.6006314436541955, 0.004511611256748438]
# 终点关节(rad): [-0.3911506811725062, -1.7397521177874964, 1.9347548484802246, -3.466752354298727, -1.080963436757223, 0.060997460037469864]
# 指令位姿: [-0.5628696513854112, 0.004274198622382375, 0.7459246931346888, -1.0754976928394635, -1.196792738776937, 1.343777402307836]
t,j1,j2,j3,j4,j5,j6,jv1,jv2,jv3,jv4,jv5,jv6,x,y,z,rx,ry,rz,vx,vy,vz,wx,wy,wz
0.0006,0.045756,-1.491017,1.810898,-3.246243,-1.600574,0.004483,-0.025998,-0.012175,0.003820,-0.015432,0.030864,0.003590,-0.696375,-0.195641,0.652459,-1.353977,-1.380926,1.114556,0.009776,0.031620,0.013931,-0.020139,0.040013,0.006765
0.2672,0.028400,-1.500617,1.815705,-3.255019,-1.580070,0.006791,-0.141354,-0.082717,0.040290,-0.070360,0.167821,0.018358,-0.690932,-0.178587,0.660128,-1.343498,-1.363629,1.138285,0.034081,0.102959,0.044253,-0.061732,0.133768,0.022230
0.5509,-0.019551,-1.528053,1.829332,-3.279166,-1.522846,0.012983,-0.210669,-0.119093,0.059756,-0.105883,0.252325,0.027562,-0.679303,-0.147993,0.674076,-1.319875,-1.332663,1.179791,0.051095,0.115893,0.052518,-0.054175,0.165958,0.032762
0.8340,-0.080145,-1.562679,1.846615,-3.309785,-1.450789,0.020805,-0.209675,-0.119707,0.058202,-0.105933,0.249590,0.027194,-0.662990,-0.113960,0.689625,-1.286300,-1.298663,1.223740,0.060011,0.106518,0.050624,-0.031583,0.167220,0.037063
1.1337,-0.143354,-1.598768,1.864431,-3.341653,-1.375672,0.029009,-0.210442,-0.119359,0.060331,-0.105929,0.250706,0.027451,-0.645428,-0.084575,0.703356,-1.249792,-1.270044,1.259340,0.066847,0.097356,0.045501,-0.009898,0.163961,0.040176
1.4166,-0.202210,-1.632179,1.881224,-3.371325,-1.305559,0.036608,-0.210171,-0.118554,0.060158,-0.106290,0.250150,0.027056,-0.626426,-0.058188,0.715657,-1.209752,-1.245709,1.289118,0.071514,0.089312,0.043690,0.010324,0.161022,0.038444
1.6970,-0.262029,-1.666206,1.898112,-3.401540,-1.234466,0.044361,-0.209989,-0.118362,0.059989,-0.106251,0.250722,0.027148,-0.605305,-0.033620,0.727454,-1.164986,-1.224294,1.313784,0.077603,0.079755,0.037815,0.031821,0.152352,0.039023
1.9773,-0.319967,-1.699142,1.914485,-3.430795,-1.165779,0.051732,-0.210378,-0.120796,0.059593,-0.105181,0.250645,0.027293,-0.583904,-0.012897,0.737446,-1.119791,-1.208115,1.331691,0.075715,0.065270,0.031565,0.046899,0.133639,0.039226
2.2500,-0.370358,-1.727833,1.928737,-3.456213,-1.105822,0.058344,-0.114997,-0.064448,0.032359,-0.057697,0.136800,0.014987,-0.566777,0.001301,0.744458,-1.083734,-1.198652,1.342003,0.028988,0.022497,0.010388,0.023064,0.048473,0.013838
2.5472,-0.391222,-1.739814,1.934587,-3.466649,-1.080939,0.060739,0.001667,-0.000023,0.000662,-0.000690,-0.003356,0.000683,-0.562808,0.004327,0.746024,-1.075250,-1.196735,1.343479,-0.000089,0.000044,-0.000228,-0.002799,-0.000412,0.000040
2.8386,-0.391177,-1.739822,1.934621,-3.466652,-1.080971,0.060947,0.000182,0.000072,0.000097,-0.000100,-0.000104,0.000192,-0.562819,0.004297,0.746004,-1.075399,-1.196691,1.343669,-0.000034,0.000021,-0.000281,-0.000273,-0.000371,-0.000062
3.1372,-0.391153,-1.739762,1.934729,-3.466642,-1.080951,0.060978,0.000000,0.000238,0.000243,-0.000280,-0.000054,0.000115,-0.562845,0.004303,0.745917,-1.075512,-1.196740,1.343697,-0.000014,0.000010,-0.000183,-0.000056,0.000144,-0.000025
3.4172,-0.391148,-1.739750,1.934762,-3.466743,-1.080956,0.060993,0.000000,0.000061,0.000153,-0.000138,-0.000038,0.000073,-0.562848,0.004301,0.745893,-1.075545,-1.196729,1.343707,-0.000016,0.000008,-0.000114,-0.000086,-0.000070,-0.000013
