# 轨迹段 33
# 起点关节(rad): [0.0893938571214676, -1.3679894606219691, 1.519550895690918, -3.353373924885885, -1.5538682142840785, -0.0021861235248010757]
# 终点关节(rad): [-0.2592735449420374, -1.6648815313922327, 1.7826038360595704, -3.3150992552386684, -1.2181056181537073, 0.018086817115545273]
# 指令位姿: [-0.619985560821581, -0.0415567733227207, 0.7906686733474161, -1.1234943926320171, -1.2397674126642195, 1.3077474548201558]
t,j1,j2,j3,j4,j5,j6,jv1,jv2,jv3,jv4,jv5,jv6,x,y,z,rx,ry,rz,vx,vy,vz,wx,wy,wz
0.0000,0.089353,-1.368035,1.519584,-3.353357,-1.553813,-0.002189,-0.022775,-0.017758,0.014468,0.004241,0.022852,0.000790,-0.753536,-0.235592,0.762935,-1.112487,-1.242288,1.320212,0.015608,0.046117,0.006551,-0.000031,-0.009039,-0.002845
0.2774,0.068084,-1.386031,1.535687,-3.351091,-1.533217,-0.000954,-0.172384,-0.147030,0.127277,0.020041,0.164489,0.008456,-0.743034,-0.210376,0.768294,-1.113378,-1.241900,1.318874,0.066896,0.146123,0.029404,-0.000819,-0.003944,-0.006360
0.5798,0.002051,-1.442417,1.585403,-3.343758,-1.469593,0.002889,-0.249428,-0.211643,0.190860,0.027090,0.240498,0.014669,-0.717439,-0.160482,0.777910,-1.115204,-1.241133,1.316266,0.091526,0.150462,0.026148,0.001811,-0.002968,-0.009050
0.8943,-0.074790,-1.507875,1.643327,-3.335356,-1.395693,0.007379,-0.250162,-0.213032,0.190725,0.027669,0.242342,0.015558,-0.690193,-0.118452,0.784408,-1.117466,-1.240574,1.313636,0.102319,0.134938,0.018398,-0.000321,-0.003739,-0.008090
1.1813,-0.146821,-1.569148,1.697903,-3.327507,-1.326420,0.011538,-0.250238,-0.212914,0.186854,0.028141,0.241752,0.014956,-0.660212,-0.081419,0.788747,-1.119594,-1.240027,1.311159,0.108494,0.118860,0.008632,0.000263,-0.008587,-0.007957
1.4664,-0.216905,-1.628823,1.750651,-3.319855,-1.259066,0.015616,-0.186317,-0.157732,0.139467,0.021115,0.179123,0.010784,-0.632369,-0.052841,0.790452,-1.122175,-1.239996,1.308839,0.064912,0.062330,0.002349,-0.001866,-0.004016,-0.007383
1.7362,-0.254089,-1.660374,1.778580,-3.315769,-1.223183,0.017644,-0.048750,-0.043205,0.038794,0.005457,0.048474,0.002558,-0.620294,-0.041919,0.790702,-1.123060,-1.239870,1.307772,0.002859,0.002719,-0.000733,-0.001390,-0.001732,-0.001875
2.0253,-0.259274,-1.664977,1.782575,-3.315308,-1.218084,0.018042,0.000136,0.000000,0.000210,0.000157,-0.000211,0.000598,-0.619896,-0.041579,0.790736,-1.123282,-1.239717,1.307755,-0.000174,0.000003,-0.000213,-0.000599,-0.001389,-0.000029
2.3005,-0.259276,-1.664903,1.782594,-3.315154,-1.218091,0.018051,0.000049,0.000291,0.000077,0.000173,-0.000073,0.000092,-0.619936,-0.041577,0.790700,-1.123383,-1.239793,1.307741,-0.000116,0.000012,-0.000141,-0.000176,-0.000377,-0.000015
2.5896,-0.259273,-1.664882,1.782594,-3.315116,-1.218120,0.018053,0.000026,0.000064,0.000043,0.000115,-0.000038,0.000058,-0.619945,-0.041573,0.790687,-1.123468,-1.239804,1.307749,-0.000047,0.000000,-0.000064,-0.000111,-0.000203,-0.000009
2.8623,-0.259269,-1.664886,1.782599,-3.315094,-1.218103,0.018072,0.000013,0.000038,0.000026,0.000107,-0.000019,0.000058,-0.619937,-0.041576,0.790699,-1.123467,-1.239817,1.307760,-0.000027,0.000001,-0.000038,-0.000092,-0.000137,-0.000003
