# 轨迹段 42
# 起点关节(rad): [-0.07814675966371709, -1.60024339357485, 1.6298418045043945, -3.151759926472799, -1.4070369879352014, -0.005139462147847951]
# 终点关节(rad): [0.033039086312055585, -1.3112361113177697, 1.4655856132507323, -3.1887518087970177, -1.625843922291891, 0.0023109331261366604]
# 指令位姿: [-0.8186511277902384, -0.18898489289404236, 0.7374015981584551, -1.29637713150011, -1.273246143773156, 1.1442922557579749]
t,j1,j2,j3,j4,j5,j6,jv1,jv2,jv3,jv4,jv5,jv6,x,y,z,rx,ry,rz,vx,vy,vz,wx,wy,wz
0.0000,-0.078135,-1.600214,1.629804,-3.151758,-1.407097,-0.005156,0.010342,0.023386,-0.019543,-0.004088,-0.020459,0.000314,-0.658385,-0.131623,0.836671,-1.178686,-1.289062,1.265318,-0.035156,-0.007703,-0.015779,-0.002341,-0.018433,-0.022150
0.2502,-0.071356,-1.583092,1.619868,-3.153899,-1.420203,-0.004737,0.059334,0.157044,-0.089344,-0.020341,-0.119558,0.004096,-0.676736,-0.136058,0.828298,-1.192613,-1.287160,1.253546,-0.122301,-0.032556,-0.058827,-0.007496,-0.063919,-0.077462
0.5538,-0.047442,-1.520546,1.584531,-3.161978,-1.467428,-0.003142,0.095910,0.250658,-0.143269,-0.032474,-0.188626,0.007313,-0.716871,-0.147331,0.807666,-1.222768,-1.282731,1.225927,-0.141777,-0.047760,-0.081863,-0.003335,-0.077313,-0.091764
0.8574,-0.018743,-1.446074,1.542191,-3.171473,-1.523734,-0.001282,0.095339,0.249637,-0.140727,-0.032612,-0.190478,0.006213,-0.761146,-0.163043,0.780651,-1.255182,-1.278247,1.192792,-0.138150,-0.054505,-0.094971,0.009371,-0.077928,-0.095268
1.1685,0.011137,-1.368184,1.497798,-3.181504,-1.582648,0.000700,0.086307,0.218937,-0.126093,-0.027780,-0.168631,0.007551,-0.799285,-0.179494,0.753084,-1.282531,-1.274899,1.161357,-0.089807,-0.041585,-0.069584,0.006288,-0.050858,-0.064954
1.4563,0.029744,-1.320034,1.470602,-3.187670,-1.619104,0.001994,0.027328,0.072197,-0.043215,-0.009196,-0.057601,0.001860,-0.817222,-0.188234,0.738637,-1.295238,-1.273371,1.145489,-0.016086,-0.006983,-0.014535,0.000917,-0.011873,-0.011011
1.7429,0.032926,-1.311130,1.465578,-3.188625,-1.625830,0.002222,0.000000,-0.000360,0.000000,-0.000161,0.000242,0.000917,-0.818759,-0.188860,0.737279,-1.296602,-1.273325,1.144008,0.000494,0.000003,0.000665,-0.000423,0.000910,0.000100
2.0324,0.032953,-1.311246,1.465598,-3.188723,-1.625849,0.002282,0.000450,0.000000,0.000000,-0.000265,0.000077,0.000119,-0.818695,-0.188932,0.737329,-1.296446,-1.273303,1.144137,0.000185,-0.000712,0.000022,-0.000102,0.000212,0.000911
2.3054,0.033037,-1.311239,1.465574,-3.188730,-1.625842,0.002282,0.000107,0.000000,0.000000,-0.000142,0.000038,0.000058,-0.818695,-0.188942,0.737327,-1.296461,-1.273290,1.144142,0.000024,-0.000062,0.000010,-0.000046,0.000100,0.000105
2.6024,0.033037,-1.311251,1.465576,-3.188742,-1.625827,0.002297,0.000038,0.000000,0.000000,-0.000058,0.000019,0.000038,-0.818694,-0.188961,0.737317,-1.296458,-1.273312,1.144181,0.000012,-0.000033,0.000005,-0.000027,0.000046,0.000055
