# 轨迹段 43
# 起点关节(rad): [0.03304627686738968, -1.3112555662738246, 1.4655807495117188, -3.1887782255755823, -1.6258584181415003, 0.0023420921061187983]
# 终点关节(rad): [0.023602556437253952, -1.3774423758136194, 1.3258407592773438, -2.886667553578512, -1.5217121283160608, -0.013882080708638967]
# 指令位姿: [-0.7962945826754282, -0.1902359055036368, 0.8532117291580911, -1.3127956769488087, -1.4207647072656024, 1.1588050784506956]
t,j1,j2,j3,j4,j5,j6,jv1,jv2,jv3,jv4,jv5,jv6,x,y,z,rx,ry,rz,vx,vy,vz,wx,wy,wz
0.0005,0.033037,-1.311268,1.465555,-3.188675,-1.625794,0.002366,0.000000,-0.007734,-0.014798,0.028164,0.013300,0.000000,-0.818525,-0.189042,0.738613,-1.296437,-1.274569,1.144713,0.003194,-0.000943,0.029468,0.002960,-0.023720,0.023746
0.2784,0.032581,-1.316547,1.454801,-3.165952,-1.617958,0.001203,-0.006668,-0.038994,-0.082515,0.181508,0.062448,-0.010163,-0.817013,-0.189306,0.753640,-1.298384,-1.293773,1.146069,0.008390,-0.000699,0.085263,0.003865,-0.076554,0.073693
0.5931,0.030331,-1.331330,1.423435,-3.097810,-1.594347,-0.002507,-0.008296,-0.052894,-0.116956,0.249590,0.085132,-0.013315,-0.813400,-0.189572,0.780943,-1.302154,-1.329003,1.149074,0.016219,-0.001411,0.096477,0.003165,-0.080240,0.080217
0.8900,0.028002,-1.347328,1.389668,-3.024332,-1.569239,-0.006451,-0.008194,-0.054104,-0.116130,0.249241,0.084768,-0.013572,-0.807468,-0.189840,0.811563,-1.306481,-1.367832,1.152826,0.023058,-0.000794,0.096294,0.000949,-0.077582,0.080531
1.1971,0.025517,-1.363708,1.354815,-2.949031,-1.543265,-0.010557,-0.007366,-0.053579,-0.105050,0.231328,0.080277,-0.011075,-0.801052,-0.190012,0.836942,-1.310276,-1.400030,1.156308,0.019241,-0.000536,0.069200,-0.000692,-0.059539,0.058537
1.4753,0.023974,-1.374716,1.331522,-2.898774,-1.525899,-0.013043,-0.003628,-0.019983,-0.041609,0.089002,0.030584,-0.004690,-0.796861,-0.190174,0.851421,-1.312776,-1.418423,1.158552,0.005722,-0.000242,0.016584,0.001044,-0.015613,0.014107
1.7534,0.023639,-1.377435,1.326076,-2.886636,-1.521856,-0.013748,-0.000151,0.000000,-0.000407,-0.000414,0.000345,-0.001085,-0.796341,-0.190205,0.853059,-1.313032,-1.420750,1.158553,0.000019,0.000088,0.000155,0.000201,0.000401,0.000091
2.0366,0.023612,-1.377421,1.326028,-2.886646,-1.521846,-0.013813,-0.000095,0.000000,-0.001930,-0.000088,0.000069,-0.000153,-0.796324,-0.190225,0.853157,-1.312845,-1.420721,1.158659,0.000054,-0.000021,0.000309,-0.000033,0.000515,0.000774
2.3262,0.023624,-1.377433,1.325881,-2.886656,-1.521729,-0.013865,-0.000038,0.000000,-0.000230,-0.000038,0.000153,-0.000153,-0.796325,-0.190208,0.853191,-1.312779,-1.420713,1.158694,0.000020,0.000016,0.000129,0.000090,0.000230,0.000140
2.6117,0.023617,-1.377440,1.325841,-2.886644,-1.521712,-0.013894,-0.000026,0.000000,-0.000102,-0.000038,0.000104,-0.000115,-0.796311,-0.190218,0.853205,-1.312702,-1.420750,1.158706,0.000012,0.000014,0.000074,0.000093,0.000149,0.000072
