# 轨迹段 46
# 起点关节(rad): [0.025766533613204957, -1.6800954977618616, 1.610367774963379, -3.131384007130758, -1.5441689650165003, 7.430219702655449e-05]
# 终点关节(rad): [0.08114818781614304, -1.253188435231344, 1.3461946487426757, -3.339967266713278, -1.6875479857074183, -0.016459194813863577]
# 指令位姿: [-0.8224883003809411, -0.22313596235638988, 0.7815584833856138, -1.1460740139914127, -1.1087757725224419, 1.231364903843799]
t,j1,j2,j3,j4,j5,j6,jv1,jv2,jv3,jv4,jv5,jv6,x,y,z,rx,ry,rz,vx,vy,vz,wx,wy,wz
0.0000,0.025759,-1.679939,1.610238,-3.131477,-1.544263,0.000065,0.001657,0.030291,-0.020775,-0.016536,-0.012069,-0.000012,-0.584170,-0.184871,0.896965,-1.138462,-1.204545,1.279836,-0.049744,-0.005931,-0.014769,0.000662,0.003512,-0.015313
0.2995,0.029193,-1.653593,1.594059,-3.144209,-1.552926,-0.000851,0.023976,0.190454,-0.117830,-0.093113,-0.064170,-0.011064,-0.609852,-0.187611,0.889934,-1.139064,-1.195188,1.274581,-0.137470,-0.015473,-0.040091,0.001207,0.027027,-0.050249
0.6073,0.037702,-1.586854,1.552839,-3.176853,-1.575464,-0.003543,0.034596,0.249037,-0.157005,-0.123286,-0.085147,-0.009860,-0.649434,-0.192500,0.877148,-1.139706,-1.179709,1.266874,-0.146292,-0.019517,-0.055927,-0.000667,0.022711,-0.053931
0.8904,0.046772,-1.517304,1.509778,-3.210827,-1.598960,-0.006204,0.032068,0.250954,-0.156136,-0.122258,-0.082682,-0.009261,-0.690029,-0.198125,0.860818,-1.140899,-1.163571,1.258620,-0.142176,-0.023674,-0.065348,-0.000263,0.024675,-0.050081
1.1704,0.056084,-1.446523,1.465785,-3.245524,-1.622559,-0.008953,0.031145,0.249901,-0.155229,-0.121135,-0.084507,-0.011881,-0.730100,-0.204604,0.841188,-1.142280,-1.147675,1.250513,-0.139201,-0.024077,-0.074545,-0.001772,0.026972,-0.052266
1.4416,0.064940,-1.378532,1.423747,-3.278744,-1.645508,-0.011578,0.032349,0.249525,-0.154988,-0.121215,-0.084979,-0.009952,-0.767585,-0.211618,0.819633,-1.143529,-1.132414,1.243019,-0.135725,-0.025544,-0.085905,-0.001202,0.026425,-0.055136
1.7151,0.073832,-1.308606,1.380595,-3.312824,-1.668942,-0.014275,0.029046,0.211229,-0.129639,-0.103386,-0.071798,-0.008000,-0.804700,-0.219207,0.794861,-1.145114,-1.116463,1.235321,-0.084965,-0.019345,-0.063582,-0.001177,0.015170,-0.034258
2.0131,0.080166,-1.261260,1.351225,-3.335986,-1.684925,-0.015910,0.007092,0.064926,-0.040835,-0.032425,-0.022507,-0.002531,-0.821580,-0.222849,0.782230,-1.146252,-1.108995,1.231580,-0.009716,-0.001961,-0.007271,0.000768,0.003179,-0.003105
2.3172,0.080983,-1.253208,1.346187,-3.339989,-1.687557,-0.016445,-0.000136,0.000000,0.000194,-0.000169,-0.000138,-0.000364,-0.822511,-0.223006,0.781571,-1.146030,-1.108703,1.231244,0.000195,-0.000691,-0.000076,0.000296,-0.000030,0.000720
2.6280,0.081124,-1.253186,1.346180,-3.339991,-1.687545,-0.016579,0.000166,0.000000,0.000077,-0.000061,-0.000058,-0.000299,-0.822503,-0.223092,0.781548,-1.145931,-1.108837,1.231235,0.000025,-0.000077,-0.000037,0.000151,-0.000012,0.000030
2.9140,0.081129,-1.253177,1.346173,-3.339965,-1.687548,-0.016584,0.000051,0.000000,0.000038,-0.000038,-0.000038,-0.000077,-0.822483,-0.223102,0.781570,-1.145923,-1.108818,1.231283,0.000007,-0.000013,-0.000022,-0.000111,0.000003,-0.000007
3.2013,0.081134,-1.253193,1.346183,-3.339977,-1.687555,-0.016474,0.000000,0.000000,0.000026,-0.000019,-0.000019,0.000468,-0.822485,-0.223103,0.781568,-1.146004,-1.108776,1.231363,0.000001,0.000002,-0.000015,-0.000234,0.000001,0.000005
