# 轨迹段 63
# 起点关节(rad): [-0.24461394945253545, -1.5193991819964807, 1.7045559883117676, -3.4188494841205044, -1.2775801817523402, 0.024684057757258415]
# 终点关节(rad): [0.19031983017921447, -1.5350448767291467, 1.63411283493042, -3.196069351826803, -1.740466324483053, 0.005300173535943031]
# 指令位姿: [-0.6442479468199744, -0.2784933866270654, 0.7948344409847863, -1.2291404955999239, -1.2603037350577346, 1.2061679612796208]
t,j1,j2,j3,j4,j5,j6,jv1,jv2,jv3,jv4,jv5,jv6,x,y,z,rx,ry,rz,vx,vy,vz,wx,wy,wz
0.0000,-0.244535,-1.519389,1.704537,-3.418828,-1.277714,0.024691,0.027760,0.000000,-0.001521,0.015328,-0.028904,-0.000629,-0.696147,-0.027382,0.757699,-1.119903,-1.181041,1.290946,-0.002289,-0.036297,0.004680,-0.008271,-0.019817,-0.003770
0.2657,-0.225574,-1.519706,1.701529,-3.409040,-1.297953,0.023905,0.162119,-0.006404,-0.025965,0.082137,-0.171710,-0.006040,-0.696429,-0.047931,0.760751,-1.131847,-1.184885,1.287805,0.003915,-0.124644,0.020569,-0.021398,-0.057937,-0.013278
0.5886,-0.161442,-1.522259,1.690958,-3.376161,-1.366009,0.020949,0.234364,-0.007841,-0.036368,0.120222,-0.250350,-0.008863,-0.694329,-0.088702,0.766946,-1.153181,-1.194018,1.279884,0.013636,-0.138482,0.021099,-0.010882,-0.070150,-0.017444
0.8890,-0.091395,-1.524867,1.679651,-3.340358,-1.440532,0.017886,0.235269,-0.008097,-0.036839,0.119378,-0.248520,-0.011298,-0.689145,-0.130294,0.773139,-1.173356,-1.205078,1.268993,0.024180,-0.137659,0.020363,-0.001826,-0.074357,-0.017080
1.1987,-0.019217,-1.527617,1.667951,-3.303263,-1.517434,0.014748,0.234208,-0.008705,-0.036974,0.118788,-0.252424,-0.012441,-0.681237,-0.170130,0.779033,-1.191239,-1.217396,1.255637,0.033314,-0.136992,0.018365,0.007849,-0.077649,-0.014751
1.4673,0.043892,-1.529815,1.657759,-3.270983,-1.584425,0.011883,0.235139,-0.008557,-0.037864,0.119731,-0.250986,-0.012513,-0.671232,-0.207369,0.784422,-1.206193,-1.230733,1.240989,0.042019,-0.134872,0.017596,0.018961,-0.078248,-0.014327
1.7471,0.109307,-1.532079,1.647308,-3.237461,-1.654142,0.009016,0.234875,-0.008473,-0.040213,0.119792,-0.250185,-0.012398,-0.658561,-0.244466,0.789739,-1.219107,-1.245606,1.224112,0.048035,-0.122755,0.017498,0.028162,-0.070377,-0.015111
2.0252,0.167066,-1.534073,1.637985,-3.207793,-1.715595,0.006525,0.128765,-0.005172,-0.020026,0.066187,-0.140003,-0.005154,-0.647495,-0.271501,0.793570,-1.227603,-1.257331,1.209886,0.021979,-0.048927,0.008112,0.016790,-0.026902,-0.007254
2.2989,0.190188,-1.534915,1.634288,-3.196180,-1.740203,0.005559,-0.000355,-0.000432,-0.001102,0.001756,-0.001243,-0.002907,-0.644266,-0.278590,0.794685,-1.229230,-1.260444,1.206155,0.000942,0.000193,0.001188,0.000266,0.001466,0.000322
2.5836,0.190349,-1.535035,1.634245,-3.196038,-1.740490,0.005382,-0.000166,-0.000115,-0.000112,0.000107,0.000115,-0.000130,-0.644248,-0.278518,0.794766,-1.229193,-1.260311,1.206115,0.000109,-0.000127,0.000230,0.000038,0.000275,0.000283
2.8913,0.190317,-1.535047,1.634192,-3.196062,-1.740483,0.005346,0.000074,-0.000038,-0.000199,0.000054,0.000058,-0.000142,-0.644252,-0.278517,0.794789,-1.229132,-1.260299,1.206088,0.000045,-0.000036,0.000113,0.000144,0.000137,0.000105
3.1593,0.190322,-1.535047,1.634139,-3.196072,-1.740490,0.005312,0.000038,-0.000026,-0.000128,-0.000038,0.000038,-0.000107,-0.644253,-0.278519,0.794810,-1.229077,-1.260287,1.206129,0.000035,-0.000013,0.000101,0.000044,0.000182,0.000048
