# 轨迹段 65
# 起点关节(rad): [0.15269798338413237, -1.3743347326861781, 1.2228147506713867, -3.0770390669452112, -1.8644264380084437, -0.02899629274477178]
# 终点关节(rad): [-0.34097177187074834, -1.6693268934832972, 2.0079550743103027, -3.536525646840231, -1.2767525831805628, 0.01571873500943184]
# 指令位姿: [-0.5917576562096888, 0.004181038564454481, 0.6679024837521415, -1.18769101738537, -1.1386338294094114, 1.2027042616697146]
t,j1,j2,j3,j4,j5,j6,jv1,jv2,jv3,jv4,jv5,jv6,x,y,z,rx,ry,rz,vx,vy,vz,wx,wy,wz
0.0000,0.152684,-1.374344,1.222827,-3.077039,-1.864438,-0.029006,-0.014348,-0.008744,0.016966,-0.009342,0.012406,0.001960,-0.730952,-0.253098,0.937412,-1.206595,-1.050688,1.141137,0.000345,0.025165,-0.017893,0.000236,-0.000618,0.005312
0.2605,0.140010,-1.382090,1.242668,-3.088541,-1.849519,-0.027934,-0.102547,-0.057573,0.165054,-0.093661,0.119689,0.010308,-0.730846,-0.239036,0.926518,-1.204887,-1.054650,1.143715,0.005960,0.087951,-0.065093,0.003425,-0.002268,0.025689
0.5728,0.099930,-1.405958,1.306560,-3.126147,-1.801751,-0.024231,-0.157172,-0.092706,0.251335,-0.144969,0.187502,0.014830,-0.728536,-0.210382,0.904256,-1.201745,-1.062289,1.148916,0.015941,0.100489,-0.079828,0.002310,-0.002846,0.030834
0.8687,0.053421,-1.433726,1.380818,-3.169413,-1.746194,-0.019959,-0.158552,-0.092003,0.247628,-0.147159,0.187752,0.014646,-0.723392,-0.181080,0.880405,-1.198609,-1.070227,1.154533,0.021900,0.098475,-0.084256,0.003213,-0.009592,0.030265
1.1395,0.010452,-1.459404,1.449045,-3.209350,-1.695062,-0.016042,-0.156990,-0.093402,0.251836,-0.145744,0.185623,0.013798,-0.716246,-0.154698,0.857757,-1.195931,-1.077837,1.159839,0.029987,0.093368,-0.084639,0.000916,-0.009877,0.031037
1.4207,-0.033846,-1.485764,1.519369,-3.250649,-1.642465,-0.012067,-0.158110,-0.095616,0.250433,-0.144071,0.187886,0.014956,-0.706627,-0.128594,0.833799,-1.193873,-1.085993,1.165146,0.037821,0.091350,-0.087442,0.000967,-0.009989,0.027996
1.7074,-0.078065,-1.512232,1.589678,-3.291840,-1.589523,-0.007992,-0.156262,-0.096122,0.251340,-0.148516,0.186804,0.013652,-0.694896,-0.103771,0.809614,-1.192275,-1.093864,1.170269,0.047287,0.084057,-0.086800,-0.000742,-0.009034,0.032602
1.9811,-0.121616,-1.538255,1.658950,-3.332245,-1.537968,-0.004102,-0.157893,-0.095270,0.249310,-0.146706,0.186471,0.014128,-0.680794,-0.080532,0.785343,-1.190488,-1.101551,1.175886,0.053534,0.080341,-0.090313,-0.001033,-0.014266,0.030870
2.2555,-0.164605,-1.563980,1.727596,-3.372234,-1.486694,-0.000225,-0.156778,-0.094741,0.249177,-0.145997,0.189224,0.014362,-0.664618,-0.058475,0.760014,-1.189341,-1.109836,1.181423,0.063004,0.073190,-0.087967,-0.004270,-0.008694,0.030118
2.5462,-0.210098,-1.591256,1.799953,-3.414809,-1.432261,0.003831,-0.157062,-0.092310,0.249505,-0.147607,0.185849,0.015417,-0.646864,-0.038765,0.735074,-1.188668,-1.117868,1.187017,0.068435,0.066356,-0.088250,-0.003302,-0.008091,0.030089
2.8315,-0.254913,-1.617922,1.871137,-3.456505,-1.379191,0.007913,-0.157420,-0.092811,0.249349,-0.145222,0.186425,0.014872,-0.626439,-0.020049,0.708716,-1.188100,-1.125937,1.193009,0.074135,0.059108,-0.090521,-0.004987,-0.012897,0.032164
3.1065,-0.299907,-1.644887,1.942752,-3.498369,-1.325597,0.011998,-0.145271,-0.086233,0.229798,-0.135389,0.175813,0.012931,-0.605770,-0.004670,0.684009,-1.187553,-1.133683,1.198940,0.059836,0.038031,-0.069516,-0.004241,-0.009371,0.026054
3.3949,-0.332389,-1.664289,1.994108,-3.528530,-1.286872,0.014872,-0.058879,-0.035870,0.091011,-0.053789,0.068381,0.006374,-0.593013,0.003413,0.669496,-1.187278,-1.138149,1.202225,0.012616,0.007939,-0.014967,-0.001326,-0.003443,0.004142
3.7025,-0.341015,-1.669339,2.007946,-3.536535,-1.276755,0.015522,0.000256,0.000253,0.000000,0.000330,-0.000364,0.002884,-0.591754,0.004242,0.667827,-1.187779,-1.138595,1.202540,-0.000079,0.000015,-0.000080,-0.000483,-0.000250,-0.000103
3.9883,-0.340976,-1.669341,2.007934,-3.536521,-1.276753,0.015680,0.000000,0.000059,0.000000,0.000077,-0.000081,0.000119,-0.591766,0.004216,0.667819,-1.187791,-1.138642,1.202623,-0.000031,0.000017,-0.000032,-0.000153,-0.000094,-0.000055
4.2684,-0.340981,-1.669361,2.007946,-3.536523,-1.276750,0.015697,0.000000,0.000028,0.000000,0.000038,-0.000038,0.000104,-0.591776,0.004229,0.667818,-1.187828,-1.138611,1.202593,-0.000017,0.000010,-0.000017,-0.000100,-0.000056,-0.000034
4.5816,-0.340974,-1.669339,2.007936,-3.536511,-1.276760,0.015709,0.000000,0.000018,0.000000,0.000019,-0.000019,0.000050,-0.591763,0.004214,0.667835,-1.187781,-1.138621,1.202630,-0.000009,0.000005,-0.000009,-0.000050,-0.000028,-0.000017
