# 轨迹段 68
# 起点关节(rad): [-0.08987600008119756, -1.6208296934710902, 1.755367374420166, -3.4002453962909143, -1.3946741263019007, 0.02039295732975006]
# 终点关节(rad): [-0.3274143377887171, -1.6474679152118128, 1.4926448822021485, -2.826808849965231, -1.2705907026873988, -0.04968148866762334]
# 指令位姿: [-0.6512262709365049, 0.01567287398277961, 0.926681200385637, -1.329497098218344, -1.305525049677767, 1.1211878022418285]
t,j1,j2,j3,j4,j5,j6,jv1,jv2,jv3,jv4,jv5,jv6,x,y,z,rx,ry,rz,vx,vy,vz,wx,wy,wz
0.0000,-0.089898,-1.620851,1.755375,-3.400221,-1.394677,0.020398,-0.010628,-0.000568,-0.008756,0.029395,0.005480,-0.003820,-0.624337,-0.127447,0.789132,-1.078041,-1.181465,1.335074,-0.007844,0.014781,0.014850,0.006943,-0.030157,-0.010521
0.2663,-0.098037,-1.621830,1.746217,-3.380149,-1.390220,0.017936,-0.070630,-0.007368,-0.077980,0.164435,0.035711,-0.021092,-0.628151,-0.119452,0.797362,-1.090952,-1.189988,1.321247,-0.022628,0.050025,0.050267,0.017393,-0.098955,-0.042045
0.5427,-0.121608,-1.624553,1.720194,-3.323836,-1.378044,0.011034,-0.105502,-0.011556,-0.114880,0.252079,0.053452,-0.031489,-0.634844,-0.103625,0.812981,-1.117014,-1.206256,1.294667,-0.023001,0.062470,0.062808,0.018803,-0.119004,-0.051729
0.8455,-0.152986,-1.628130,1.685576,-3.247927,-1.361827,0.001796,-0.101409,-0.010858,-0.116012,0.248156,0.055676,-0.030311,-0.641937,-0.083010,0.832997,-1.151641,-1.226302,1.261405,-0.017995,0.062860,0.061292,0.011346,-0.120284,-0.049653
1.1653,-0.185705,-1.631589,1.649347,-3.168703,-1.344496,-0.007894,-0.104152,-0.010973,-0.116994,0.250369,0.053187,-0.029809,-0.647149,-0.063527,0.851447,-1.185146,-1.244414,1.231402,-0.013557,0.064577,0.060644,0.005222,-0.119916,-0.050963
1.4510,-0.216247,-1.634936,1.615568,-3.095274,-1.328744,-0.016859,-0.101511,-0.010863,-0.113387,0.248524,0.055058,-0.029855,-0.650392,-0.045363,0.868760,-1.216570,-1.259656,1.204668,-0.008053,0.062628,0.058047,-0.000444,-0.123037,-0.046789
1.7495,-0.247027,-1.638544,1.581638,-3.020712,-1.312535,-0.025861,-0.104651,-0.012407,-0.113369,0.249421,0.053643,-0.031542,-0.652188,-0.026405,0.886848,-1.250374,-1.274929,1.177749,-0.002619,0.063181,0.059611,-0.003469,-0.116332,-0.047533
2.0383,-0.276233,-1.641847,1.549378,-2.950332,-1.297408,-0.034510,-0.102053,-0.011410,-0.117081,0.251795,0.054840,-0.030664,-0.652707,-0.009294,0.902992,-1.281888,-1.287976,1.154084,-0.000025,0.063350,0.057564,-0.011426,-0.119150,-0.047688
2.3266,-0.306446,-1.645064,1.515827,-2.877644,-1.281495,-0.043480,-0.084747,-0.008782,-0.092307,0.206516,0.043764,-0.024107,-0.652132,0.007559,0.918743,-1.313761,-1.300092,1.131752,0.003379,0.039788,0.038073,-0.010873,-0.076650,-0.029503
2.6005,-0.324005,-1.646955,1.496343,-2.834765,-1.272445,-0.048605,-0.030130,-0.002477,-0.032436,0.067794,0.015459,-0.008115,-0.651410,0.015295,0.926124,-1.328800,-1.305022,1.121735,0.000812,0.004619,0.005044,-0.001851,-0.008508,-0.004775
2.8955,-0.327400,-1.647367,1.492628,-2.826780,-1.270891,-0.049394,0.000000,-0.001777,0.000000,-0.000249,0.000038,-0.002677,-0.651243,0.015744,0.926647,-1.329650,-1.305311,1.120925,0.000211,-0.000273,0.000192,0.000363,0.000504,0.002223
3.1645,-0.327424,-1.647473,1.492657,-2.826794,-1.270644,-0.049629,0.000000,-0.000074,0.000000,-0.000077,0.000314,-0.000234,-0.651251,0.015723,0.926638,-1.329530,-1.305530,1.121089,0.000046,-0.000030,0.000040,0.000149,0.000111,0.000172
3.4758,-0.327424,-1.647458,1.492647,-2.826792,-1.270610,-0.049684,0.000000,-0.000038,0.000000,-0.000038,0.000134,-0.000134,-0.651252,0.015729,0.926644,-1.329482,-1.305559,1.121073,0.000023,-0.000020,0.000021,0.000126,0.000065,0.000148
3.7487,-0.327400,-1.647466,1.492655,-2.826780,-1.270591,-0.049681,0.000000,-0.000026,0.000000,-0.000019,0.000077,-0.000115,-0.651251,0.015719,0.926631,-1.329474,-1.305591,1.121076,0.000019,-0.000012,0.000017,0.000119,0.000041,0.000074
