# 轨迹段 69
# 起点关节(rad): [-0.32740956941713506, -1.6474726835833948, 1.4926570892333983, -2.826780144368307, -1.2706003347979944, -0.04966231981386358]
# 终点关节(rad): [-0.04539806047548467, -1.2473611036883754, 1.2684335708618164, -3.01882135072817, -1.4396788755999963, -0.023096863423482716]
# 指令位姿: [-0.878838041098496, -0.13883739244068216, 0.7983180851287015, -1.2634541552148677, -1.384689673330649, 1.201515003866275]
t,j1,j2,j3,j4,j5,j6,jv1,jv2,jv3,jv4,jv5,jv6,x,y,z,rx,ry,rz,vx,vy,vz,wx,wy,wz
0.0000,-0.327347,-1.647389,1.492607,-2.826840,-1.270617,-0.049665,0.018960,0.024462,-0.017053,-0.013211,-0.012222,0.002385,-0.652469,0.015177,0.926407,-1.328837,-1.305833,1.121614,-0.043824,-0.016956,-0.013798,-0.000504,0.002990,0.021199
0.2793,-0.312573,-1.626659,1.480737,-2.836836,-1.279473,-0.048363,0.121210,0.171727,-0.092021,-0.081033,-0.071641,0.014596,-0.675336,0.006702,0.918621,-1.322826,-1.313352,1.128732,-0.136546,-0.056253,-0.051066,-0.000079,0.002724,0.062652
0.5880,-0.266021,-1.560604,1.443921,-2.868481,-1.307340,-0.043859,0.175804,0.250596,-0.139188,-0.119263,-0.106941,0.016440,-0.719141,-0.013096,0.901057,-1.311487,-1.328040,1.142869,-0.150059,-0.079861,-0.068591,0.000481,0.005415,0.069174
0.8810,-0.215096,-1.488089,1.403288,-2.903282,-1.337903,-0.039031,0.176577,0.249829,-0.142637,-0.119493,-0.106788,0.016471,-0.763015,-0.038271,0.879694,-1.299605,-1.342835,1.157497,-0.144811,-0.095464,-0.079175,0.001024,0.007984,0.068323
1.1709,-0.163124,-1.414625,1.362053,-2.938725,-1.369015,-0.034210,0.176896,0.249586,-0.140081,-0.118335,-0.106911,0.015681,-0.807926,-0.070590,0.853234,-1.286487,-1.358538,1.173372,-0.136659,-0.113485,-0.092213,-0.000353,0.007503,0.067667
1.5005,-0.104457,-1.331246,1.315365,-2.978528,-1.404219,-0.028728,0.176799,0.249530,-0.143440,-0.121503,-0.105338,0.015727,-0.848190,-0.106173,0.824490,-1.273900,-1.372982,1.188639,-0.116585,-0.118148,-0.094612,-0.002417,0.006857,0.063931
1.7765,-0.062656,-1.271827,1.282101,-3.007165,-1.429295,-0.024840,0.095547,0.133060,-0.073884,-0.064105,-0.058226,0.009445,-0.873267,-0.132530,0.803385,-1.265324,-1.382574,1.199084,-0.040533,-0.046583,-0.035240,-0.001482,0.006520,0.021862
2.0660,-0.045367,-1.247334,1.268537,-3.018656,-1.439660,-0.023411,-0.000182,-0.000179,-0.001557,-0.000909,-0.000061,0.000736,-0.878917,-0.138912,0.798182,-1.263466,-1.385028,1.201352,0.000394,-0.000041,0.000684,-0.002439,0.000939,-0.000088
2.3360,-0.045355,-1.247335,1.268436,-3.018711,-1.439679,-0.023221,-0.001181,-0.001002,-0.000115,-0.000038,0.000111,0.000230,-0.878879,-0.138880,0.798225,-1.263557,-1.384888,1.201478,0.000150,-0.000014,0.000247,-0.000228,0.000215,0.000051
2.6112,-0.045379,-1.247361,1.268414,-3.018776,-1.439696,-0.023169,0.000000,-0.000079,-0.000061,-0.000303,0.000058,0.000173,-0.878881,-0.138871,0.798221,-1.263566,-1.384808,1.201537,0.000063,-0.000006,0.000106,-0.000153,0.000263,0.000014
2.8919,-0.045389,-1.247356,1.268441,-3.018805,-1.439679,-0.023138,0.000000,-0.000038,-0.000038,-0.000077,0.000038,0.000115,-0.878871,-0.138868,0.798242,-1.263565,-1.384766,1.201573,0.000028,-0.000003,0.000057,-0.000112,0.000114,0.000006
