# 轨迹段 97
# 起点关节(rad): [-0.13023454347719365, -1.4163338820086877, 1.2601027488708496, -3.0218632856952112, -1.3334540526019496, 0.005113219656050205]
# 终点关节(rad): [0.12058572322130204, -1.348815647755758, 1.6132412910461427, -3.3221689383136193, -1.5789841810809535, -0.002457443867818654]
# 指令位姿: [-0.7610021377985446, -0.2597654982625263, 0.6836861651256747, -1.2095889476629786, -1.3594284818138345, 1.2505789687841629]
t,j1,j2,j3,j4,j5,j6,jv1,jv2,jv3,jv4,jv5,jv6,x,y,z,rx,ry,rz,vx,vy,vz,wx,wy,wz
0.0000,-0.130211,-1.416329,1.260132,-3.021940,-1.333471,0.005140,0.019052,0.004571,0.025973,-0.026185,-0.018588,0.000000,-0.761141,-0.091292,0.939327,-1.128956,-1.262653,1.309552,-0.014618,-0.028852,-0.049216,-0.003487,-0.026203,0.001726
0.2648,-0.116183,-1.412523,1.279956,-3.038804,-1.347118,0.004804,0.119088,0.032702,0.166291,-0.140804,-0.114696,-0.004123,-0.767782,-0.107359,0.913419,-1.139479,-1.271299,1.305826,-0.031305,-0.103386,-0.160836,-0.001100,-0.075104,0.003335
0.5860,-0.069559,-1.399992,1.345538,-3.094670,-1.392714,0.003395,0.177413,0.048862,0.249952,-0.211018,-0.176128,-0.007609,-0.776094,-0.139248,0.864064,-1.157567,-1.288103,1.297290,-0.016442,-0.121707,-0.183506,0.003390,-0.085478,0.005479
0.8525,-0.020679,-1.386794,1.414398,-3.153074,-1.440808,0.001985,0.177482,0.047932,0.249205,-0.211291,-0.171760,-0.008353,-0.779072,-0.174035,0.811613,-1.175018,-1.307398,1.286246,0.004578,-0.122781,-0.181788,0.011686,-0.082950,0.002966
1.1444,0.031007,-1.372784,1.487159,-3.214868,-1.491243,0.000388,0.178346,0.045549,0.250517,-0.212042,-0.174594,-0.006324,-0.776046,-0.209245,0.759125,-1.190804,-1.327789,1.273065,0.025124,-0.123398,-0.180341,0.018517,-0.080507,0.005379
1.4237,0.079526,-1.359801,1.555322,-3.272816,-1.538889,-0.001076,0.153963,0.039740,0.218214,-0.185819,-0.151385,-0.006914,-0.767485,-0.242751,0.709283,-1.203560,-1.348395,1.258807,0.029144,-0.079184,-0.118081,0.018016,-0.052058,0.001537
1.7292,0.115259,-1.350190,1.605659,-3.315804,-1.573800,-0.002117,0.047336,0.013287,0.066534,-0.056117,-0.046537,-0.001661,-0.761421,-0.258943,0.684827,-1.209442,-1.358883,1.250995,0.005131,-0.010658,-0.014804,0.003392,-0.005096,0.001166
2.0025,0.120588,-1.348811,1.613229,-3.322195,-1.578960,-0.002364,-0.000171,0.000120,-0.000256,0.000288,0.000245,-0.000337,-0.761017,-0.259719,0.683685,-1.209550,-1.359385,1.250589,-0.000099,0.000050,0.000007,0.000202,-0.000172,0.000056
2.3112,0.120581,-1.348820,1.613222,-3.322169,-1.578953,-0.002383,-0.000051,0.000041,-0.000077,0.000100,0.000073,-0.000142,-0.761026,-0.259710,0.683676,-1.209573,-1.359392,1.250571,-0.000041,0.000020,0.000004,0.000104,-0.000039,0.000028
2.5880,0.120581,-1.348818,1.613236,-3.322178,-1.578982,-0.002429,-0.000026,0.000026,-0.000046,0.000054,0.000000,-0.000077,-0.761047,-0.259707,0.683647,-1.209597,-1.359404,1.250497,-0.000026,0.000017,0.000001,0.000079,-0.000017,-0.000019
2.8754,0.120588,-1.348806,1.613234,-3.322152,-1.578975,-0.002438,-0.000013,0.000013,-0.000026,0.000038,0.000000,-0.000077,-0.761028,-0.259713,0.683663,-1.209534,-1.359411,1.250501,-0.000013,0.000009,0.000005,0.000077,0.000003,-0.000006
