# 轨迹段 99
# 起点关节(rad): [0.1712094873189926, -1.5299752394305628, 1.5879767417907715, -3.214148823414938, -1.6740949789630335, -0.00388356844057256]
# 终点关节(rad): [0.1926899403333664, -1.2517171064959924, 1.3035983085632323, -3.2285988966571253, -1.7615854422198693, -0.010801521931783497]
# 指令位姿: [-0.8037010681871262, -0.30860384418675335, 0.7988401733747323, -1.1813863925609238, -1.1878503158914229, 1.2292945613176947]
t,j1,j2,j3,j4,j5,j6,jv1,jv2,jv3,jv4,jv5,jv6,x,y,z,rx,ry,rz,vx,vy,vz,wx,wy,wz
0.0009,0.171241,-1.529841,1.587845,-3.214168,-1.674114,-0.003891,0.002355,0.034417,-0.034727,-0.001258,-0.009580,0.000000,-0.649274,-0.272268,0.823564,-1.163882,-1.250358,1.269108,-0.043400,-0.009704,-0.000500,-0.001806,0.005186,-0.016936
0.2812,0.173083,-1.507947,1.565353,-3.215139,-1.680948,-0.004219,0.013507,0.174971,-0.180028,-0.011923,-0.055269,-0.006784,-0.671121,-0.277100,0.822829,-1.166272,-1.241847,1.263712,-0.128106,-0.028656,-0.007576,0.001526,0.016763,-0.052137
0.6041,0.178520,-1.437856,1.493800,-3.218948,-1.703075,-0.006077,0.017590,0.243404,-0.248955,-0.013273,-0.076507,-0.006067,-0.714543,-0.286810,0.818984,-1.170823,-1.224243,1.252845,-0.138881,-0.030677,-0.021677,-0.000435,0.014647,-0.062390
0.9209,0.184195,-1.360764,1.415148,-3.222960,-1.727403,-0.007975,0.019341,0.243765,-0.252230,-0.012525,-0.076093,-0.007839,-0.757289,-0.296855,0.811225,-1.176019,-1.207137,1.241476,-0.134185,-0.034261,-0.029933,-0.002317,0.019250,-0.057605
1.2264,0.189848,-1.290892,1.343570,-3.226606,-1.749241,-0.009749,0.013116,0.175600,-0.179016,-0.009231,-0.055657,-0.006550,-0.791237,-0.305474,0.802540,-1.180032,-1.193216,1.232548,-0.068875,-0.017035,-0.018951,-0.001198,0.011632,-0.030899
1.5130,0.192400,-1.254739,1.306572,-3.228268,-1.760631,-0.010605,0.002201,0.034139,-0.034581,-0.003800,-0.010853,-0.001446,-0.803722,-0.308460,0.798791,-1.181618,-1.187953,1.229174,-0.000166,-0.000393,0.000419,0.000139,0.001455,-0.000223
1.7836,0.192570,-1.251652,1.303591,-3.228693,-1.761413,-0.010725,0.000171,0.000000,0.000222,-0.000472,-0.000138,-0.000173,-0.803772,-0.308526,0.798770,-1.181403,-1.187823,1.229311,0.000367,-0.000900,-0.000073,0.000149,0.000104,0.001029
2.0605,0.192685,-1.251691,1.303586,-3.228736,-1.761540,-0.010763,0.000000,-0.000159,0.000077,-0.000188,-0.000702,-0.000096,-0.803717,-0.308578,0.798800,-1.181377,-1.187759,1.229310,0.000076,0.000038,0.000055,0.000037,0.000156,-0.000256
2.3369,0.192683,-1.251705,1.303608,-3.228625,-1.761559,-0.010766,0.000000,-0.000051,0.000046,0.000679,-0.000096,-0.000058,-0.803748,-0.308566,0.798767,-1.181482,-1.187872,1.229159,-0.000006,0.000007,-0.000013,0.000101,-0.000234,-0.000097
2.6193,0.192700,-1.251703,1.303574,-3.228616,-1.761590,-0.010790,0.000000,-0.000026,0.000026,0.000100,-0.000096,-0.000058,-0.803750,-0.308570,0.798766,-1.181482,-1.187875,1.229192,0.000006,0.000008,-0.000002,0.000070,-0.000076,-0.000078
