# 轨迹段 107
# 起点关节(rad): [-0.3146265188800257, -1.7894647757159632, 2.03991060256958, -3.4209163824664515, -1.1535022894488733, 0.011700872890651226]
# 终点关节(rad): [-0.024970547352926076, -1.6933320204364222, 1.99998197555542, -3.3318162123309536, -1.5964234511004847, 0.0023996164090931416]
# 指令位姿: [-0.5777457502681852, -0.15060091780840218, 0.6671117409022596, -1.3173396775734372, -1.2578482946800424, 1.1198878457216508]
t,j1,j2,j3,j4,j5,j6,jv1,jv2,jv3,jv4,jv5,jv6,x,y,z,rx,ry,rz,vx,vy,vz,wx,wy,wz
0.0000,-0.314516,-1.789421,2.039894,-3.420897,-1.153709,0.011691,0.024485,0.007788,-0.000826,0.007812,-0.037932,-0.000825,-0.539782,-0.040641,0.701442,-1.140119,-1.266264,1.299857,-0.012162,-0.021473,-0.006101,-0.008572,-0.027816,-0.028229
0.3190,-0.295194,-1.782897,2.037341,-3.415071,-1.182774,0.011111,0.130736,0.040801,-0.017314,0.040708,-0.200441,-0.004794,-0.545581,-0.051207,0.698217,-1.162675,-1.262813,1.285154,-0.030267,-0.055993,-0.018727,-0.019272,-0.079922,-0.086471
0.6567,-0.244341,-1.766163,2.030236,-3.399336,-1.260999,0.009538,0.163282,0.056113,-0.023498,0.050104,-0.250691,-0.007037,-0.555390,-0.071271,0.691863,-1.202639,-1.258038,1.254488,-0.024227,-0.060429,-0.018662,-0.004830,-0.079934,-0.086218
1.0034,-0.188104,-1.747327,2.022620,-3.382130,-1.347005,0.007729,0.163302,0.052406,-0.022810,0.050529,-0.250219,-0.007455,-0.563321,-0.091713,0.685478,-1.237971,-1.255858,1.221999,-0.022009,-0.063320,-0.019566,0.005466,-0.081395,-0.085325
1.3525,-0.130558,-1.728402,2.014605,-3.364409,-1.434858,0.005914,0.164018,0.056358,-0.022491,0.050058,-0.250188,-0.010232,-0.570450,-0.114712,0.678198,-1.272895,-1.255308,1.183165,-0.015570,-0.067077,-0.019824,0.016999,-0.082390,-0.084272
1.7108,-0.072199,-1.708883,2.006493,-3.346492,-1.524086,0.003941,0.155354,0.049865,-0.021417,0.047680,-0.239313,-0.006358,-0.575698,-0.138601,0.670914,-1.303602,-1.256596,1.141572,-0.009574,-0.050513,-0.016256,0.019927,-0.060649,-0.059506
2.0518,-0.030918,-1.695203,2.000940,-3.333758,-1.587103,0.002673,0.041118,0.012525,-0.004042,0.013227,-0.066697,-0.001952,-0.577647,-0.150220,0.667172,-1.317173,-1.257632,1.120353,0.000004,-0.002196,0.000072,0.001760,-0.001272,-0.001656
2.4112,-0.024980,-1.693512,2.000133,-3.332018,-1.596392,0.002448,-0.000105,-0.000110,-0.000800,0.000138,0.000349,-0.000130,-0.577626,-0.150582,0.667241,-1.317166,-1.257541,1.120010,-0.000099,0.000027,0.000194,0.000081,0.000210,0.000093
2.7722,-0.024968,-1.693356,2.000004,-3.331898,-1.596397,0.002416,-0.000038,0.000000,-0.000210,0.000307,0.000069,-0.000096,-0.577725,-0.150578,0.667175,-1.317307,-1.257736,1.119892,-0.000036,0.000010,0.000106,0.000069,0.000012,0.000041
3.1160,-0.024968,-1.693344,1.999996,-3.331847,-1.596392,0.002409,-0.000026,0.000000,-0.000107,0.000115,0.000038,-0.000050,-0.577734,-0.150584,0.667180,-1.317332,-1.257766,1.119862,-0.000019,0.000005,0.000039,0.000034,-0.000037,0.000022
