# 轨迹段 156
# 起点关节(rad): [0.1418237179517746, -1.5142836729632776, 1.8445520401000977, -3.433480374013082, -1.6493538061725062, 0.0012994645163416862]
# 终点关节(rad): [-0.12113420168031866, -1.5311797300921839, 1.5209939002990722, -3.128831783925192, -1.1639894644366664, -0.0033677260028284195]
# 指令位姿: [-0.6987964089950945, -0.11996573726867157, 0.8612115431032138, -1.0581468337931619, -1.4203913271828847, 1.419274233755538]
t,j1,j2,j3,j4,j5,j6,jv1,jv2,jv3,jv4,jv5,jv6,x,y,z,rx,ry,rz,vx,vy,vz,wx,wy,wz
0.0000,0.141754,-1.514291,1.844497,-3.433351,-1.649176,0.001280,-0.020785,-0.000516,-0.024270,0.023708,0.037744,0.000000,-0.641958,-0.252015,0.667642,-1.202550,-1.288876,1.241333,-0.021834,0.024568,0.037526,-0.003844,0.007345,0.041658
0.3416,0.124060,-1.515524,1.822935,-3.413105,-1.616653,0.001021,-0.112952,-0.007724,-0.139733,0.132785,0.212130,-0.002243,-0.653782,-0.238346,0.689374,-1.187884,-1.303572,1.263095,-0.049995,0.063995,0.097001,-0.006819,0.013892,0.115770
0.7126,0.075963,-1.518550,1.763616,-3.357240,-1.527959,0.000223,-0.135865,-0.008248,-0.166186,0.158817,0.249563,-0.002707,-0.671448,-0.213268,0.727211,-1.161602,-1.329789,1.299769,-0.038081,0.067985,0.099873,-0.005374,0.018405,0.115488
1.0890,0.025093,-1.521707,1.700990,-3.298162,-1.433703,-0.000695,-0.135241,-0.008595,-0.166475,0.158476,0.250553,-0.003973,-0.684167,-0.188232,0.763909,-1.134665,-1.354652,1.333991,-0.028046,0.070283,0.100530,-0.002078,0.018357,0.114638
1.4499,-0.023669,-1.524958,1.640976,-3.241674,-1.343921,-0.001592,-0.134607,-0.008820,-0.167833,0.156363,0.250407,-0.002550,-0.692807,-0.162626,0.800699,-1.106615,-1.379213,1.367204,-0.017070,0.071688,0.102188,-0.000372,0.020046,0.115920
1.8076,-0.072422,-1.528233,1.581073,-3.185197,-1.253840,-0.002392,-0.135100,-0.008544,-0.166153,0.154967,0.248601,-0.002220,-0.697579,-0.137221,0.836756,-1.078163,-1.403599,1.398550,-0.006214,0.060773,0.086661,0.002244,0.014643,0.099626
2.1667,-0.112706,-1.530652,1.531419,-3.138611,-1.179521,-0.003123,-0.052424,-0.003242,-0.061998,0.061256,0.097561,-0.000713,-0.698867,-0.121106,0.859367,-1.059872,-1.419214,1.417680,0.000438,0.008450,0.014858,0.000912,0.005412,0.017392
2.5263,-0.121072,-1.531127,1.520984,-3.128817,-1.164052,-0.003265,0.000161,-0.000506,-0.000220,-0.000211,-0.000226,-0.000157,-0.698833,-0.120022,0.861178,-1.058202,-1.420419,1.419264,0.000172,-0.000070,0.000219,0.000146,0.000452,-0.000032
2.8821,-0.121086,-1.531182,1.520989,-3.128796,-1.164042,-0.003305,-0.000013,-0.000061,-0.000064,-0.000058,-0.000046,-0.000096,-0.698841,-0.120001,0.861157,-1.058192,-1.420461,1.419230,0.000029,0.000106,0.000067,0.000107,0.000165,0.000226
3.2446,-0.121122,-1.531180,1.521004,-3.128810,-1.164004,-0.003334,-0.000097,-0.000026,-0.000038,-0.000038,0.000107,-0.000096,-0.698837,-0.119988,0.861161,-1.058165,-1.420459,1.419201,0.000008,-0.000007,0.000020,0.000079,0.000069,0.000077
