# 轨迹段 157
# 起点关节(rad): [-0.12112695375551397, -1.5311941305743617, 1.5209915161132812, -3.128822151814596, -1.1639700094806116, -0.003346268330709279]
# 终点关节(rad): [0.07479362487792969, -1.5798601309405726, 1.6422224998474122, -3.3016918341266077, -1.6731527487384241, -0.012079445515767872]
# 指令位姿: [-0.6299446100108033, -0.20538906330924825, 0.828731806954021, -1.1473170994309825, -1.1204240223396096, 1.2355637844445575]
t,j1,j2,j3,j4,j5,j6,jv1,jv2,jv3,jv4,jv5,jv6,x,y,z,rx,ry,rz,vx,vy,vz,wx,wy,wz
0.0005,-0.121077,-1.531218,1.521042,-3.128887,-1.164191,-0.003356,0.013647,-0.004922,0.008820,-0.013434,-0.036631,0.000000,-0.698372,-0.120677,0.861022,-1.058710,-1.418084,1.417633,0.009465,-0.016475,-0.006035,0.002133,0.017164,-0.057922
0.3255,-0.109431,-1.534222,1.528334,-3.139270,-1.194875,-0.003699,0.079770,-0.019159,0.049842,-0.071503,-0.207609,-0.003720,-0.692852,-0.130747,0.857501,-1.067603,-1.387913,1.396018,0.028461,-0.046089,-0.014262,0.008303,0.053035,-0.154887
0.6951,-0.076007,-1.542651,1.548981,-3.168691,-1.281305,-0.005207,0.096896,-0.022365,0.058642,-0.086260,-0.249479,-0.006941,-0.682424,-0.147232,0.852010,-1.082053,-1.336171,1.361280,0.029962,-0.044538,-0.018084,-0.000379,0.045207,-0.153257
1.0621,-0.040606,-1.551204,1.570815,-3.199945,-1.373394,-0.006772,0.098704,-0.025935,0.059373,-0.086271,-0.249583,-0.006289,-0.670723,-0.163090,0.846293,-1.097459,-1.282900,1.327585,0.033607,-0.042704,-0.016111,-0.004835,0.049259,-0.152160
1.4210,-0.005885,-1.559731,1.592164,-3.230462,-1.463329,-0.008321,0.096490,-0.023907,0.061587,-0.086739,-0.250104,-0.005791,-0.658315,-0.178015,0.840371,-1.113419,-1.229725,1.295674,0.038426,-0.039713,-0.012857,-0.011162,0.053073,-0.153527
1.7826,0.028467,-1.568495,1.613522,-3.260839,-1.552564,-0.009860,0.094713,-0.022082,0.058749,-0.085680,-0.250725,-0.005921,-0.644673,-0.192101,0.834613,-1.129976,-1.175370,1.265025,0.038809,-0.036600,-0.017637,-0.015359,0.046263,-0.156664
2.1352,0.061123,-1.576489,1.633676,-3.289646,-1.637667,-0.011324,0.062548,-0.016966,0.038091,-0.054445,-0.157870,-0.004188,-0.632528,-0.203086,0.829885,-1.144103,-1.130210,1.240868,0.015282,-0.013106,-0.006352,-0.008889,0.019036,-0.060513
2.4936,0.074762,-1.579800,1.641990,-3.301553,-1.673057,-0.011972,-0.000701,-0.000291,0.000000,0.001112,0.002458,-0.000364,-0.630014,-0.205363,0.828742,-1.147431,-1.120433,1.235501,0.000053,-0.000016,0.000057,0.000179,-0.000105,0.000204
2.8521,0.074806,-1.579807,1.642141,-3.301574,-1.673170,-0.012029,0.000000,-0.000051,0.000435,-0.001664,0.000081,-0.000096,-0.630008,-0.205355,0.828669,-1.147410,-1.120473,1.235438,0.000266,0.000014,0.000061,0.000076,0.000337,0.000048
3.2022,0.074798,-1.579843,1.642189,-3.301685,-1.673165,-0.012022,0.000000,-0.000128,0.000118,-0.000092,0.000038,-0.000073,-0.629987,-0.205353,0.828677,-1.147384,-1.120458,1.235442,0.000050,0.000000,-0.000022,0.000060,0.000023,0.000033
3.5503,0.074801,-1.579843,1.642213,-3.301699,-1.673148,-0.012060,0.000000,-0.000038,0.000095,-0.000038,0.000019,-0.000058,-0.629993,-0.205351,0.828657,-1.147392,-1.120494,1.235412,0.000020,-0.000000,-0.000024,0.000060,-0.000004,0.000013
