# 轨迹段 165
# 起点关节(rad): [0.2612483263015747, -1.5110538641559046, 1.6683253288269042, -3.265894619618551, -1.835312573109762, 0.00647702431306243]
# 终点关节(rad): [0.01966086998581886, -1.1372255484210414, 1.0713958740234375, -3.152644936238424, -1.3824547926532191, 0.009392336755990983]
# 指令位姿: [-0.9037264337597346, -0.2008365711984087, 0.8441240315204521, -1.0502879284566031, -1.2999782349270737, 1.4043331687108496]
t,j1,j2,j3,j4,j5,j6,jv1,jv2,jv3,jv4,jv5,jv6,x,y,z,rx,ry,rz,vx,vy,vz,wx,wy,wz
0.0000,0.261174,-1.510963,1.668138,-3.265868,-1.835073,0.006484,-0.015506,0.021657,-0.036207,0.004491,0.028946,0.000000,-0.633896,-0.316712,0.763318,-1.231021,-1.233456,1.196546,-0.044622,0.007949,0.019123,-0.006819,0.015554,0.031522
0.3227,0.249356,-1.492586,1.638637,-3.260343,-1.812582,0.006487,-0.082613,0.128381,-0.205065,0.039742,0.153321,0.000514,-0.659456,-0.311946,0.773216,-1.218815,-1.238801,1.216112,-0.126432,0.028646,0.046169,-0.018008,0.042579,0.087337
0.6701,0.216171,-1.441345,1.556927,-3.244632,-1.750631,0.006957,-0.101923,0.156152,-0.247889,0.046645,0.189186,0.001519,-0.701768,-0.301522,0.788831,-1.196960,-1.247338,1.248966,-0.123160,0.036039,0.041378,-0.012564,0.043700,0.086892
1.0045,0.182462,-1.389254,1.473691,-3.229037,-1.687558,0.007391,-0.099831,0.156134,-0.249556,0.048654,0.189585,0.001074,-0.743578,-0.288176,0.802899,-1.172755,-1.256472,1.281217,-0.117320,0.043116,0.040492,-0.008792,0.049990,0.090198
1.3573,0.146729,-1.333893,1.385258,-3.212127,-1.620384,0.007803,-0.100184,0.155612,-0.248740,0.046599,0.189707,0.001641,-0.784646,-0.271770,0.815654,-1.146247,-1.266022,1.312929,-0.111614,0.051392,0.035393,-0.004404,0.050546,0.087631
1.7049,0.111731,-1.279828,1.298831,-3.195904,-1.555044,0.008249,-0.100754,0.155625,-0.249839,0.048033,0.190808,0.001350,-0.823009,-0.253003,0.826421,-1.118743,-1.275525,1.342346,-0.107662,0.058701,0.027300,0.001113,0.047279,0.089383
2.0639,0.075819,-1.224277,1.210036,-3.178916,-1.487629,0.008711,-0.102618,0.157882,-0.248917,0.047212,0.190448,0.001043,-0.860394,-0.231263,0.835410,-1.089184,-1.286041,1.370903,-0.102183,0.067643,0.022200,0.005999,0.046585,0.085961
2.3977,0.041428,-1.171150,1.125259,-3.162925,-1.423335,0.009076,-0.083740,0.129972,-0.204526,0.038779,0.156152,0.001592,-0.892107,-0.209571,0.841880,-1.061483,-1.296125,1.395195,-0.055344,0.040273,0.010779,0.005289,0.027994,0.051055
2.7516,0.020821,-1.139266,1.074646,-3.153295,-1.384783,0.009371,-0.009158,0.015905,-0.024518,0.004452,0.017461,0.000364,-0.903817,-0.200834,0.843998,-1.050365,-1.299948,1.404279,0.000031,0.000056,0.000079,-0.000322,-0.000271,-0.000584
3.1099,0.019675,-1.137135,1.071372,-3.152791,-1.382496,0.009421,0.000000,-0.000667,0.000000,0.000092,-0.000107,0.000115,-0.903770,-0.200830,0.844048,-1.050399,-1.299859,1.404314,0.000407,0.000014,0.000518,-0.000129,0.000545,-0.000060
3.4581,0.019656,-1.137235,1.071384,-3.152707,-1.382459,0.009471,0.000000,-0.000130,0.000000,0.000280,0.000268,0.000088,-0.903747,-0.200855,0.844085,-1.050412,-1.299970,1.404358,0.000040,-0.000014,0.000057,0.000152,-0.000025,0.000150
3.8072,0.019651,-1.137238,1.071370,-3.152678,-1.382448,0.009390,0.000000,-0.000038,0.000000,0.000061,0.000073,-0.000176,-0.903756,-0.200817,0.844079,-1.050381,-1.299996,1.404234,0.000016,-0.000005,0.000023,0.000106,-0.000005,0.000050
