# 轨迹段 193
# 起点关节(rad): [0.3022524952888489, -1.3575577894793909, 1.6511421203613281, -3.673914639149801, -1.8820694128619593, -0.07738248506654913]
# 终点关节(rad): [-0.12768727937807256, -1.4213273207293908, 1.6026127815246582, -3.308341614400045, -1.2489559332477014, -0.007203404103414357]
# 指令位姿: [-0.7599877330485437, -0.10027674666984997, 0.7450280778797862, -1.117017166815513, -1.3638569438491424, 1.3470869736250077]
t,j1,j2,j3,j4,j5,j6,jv1,jv2,jv3,jv4,jv5,jv6,x,y,z,rx,ry,rz,vx,vy,vz,wx,wy,wz
0.0002,0.302130,-1.357560,1.651142,-3.673816,-1.881878,-0.077330,-0.025162,-0.001854,-0.000547,0.020329,0.034603,0.004732,-0.659913,-0.349224,0.694556,-1.046138,-1.033447,1.295958,-0.024441,0.032989,0.008055,0.018856,-0.029590,0.026996
0.3221,0.281747,-1.360411,1.648839,-3.656596,-1.852127,-0.074089,-0.137514,-0.020497,-0.014256,0.116199,0.202416,0.023075,-0.672571,-0.331411,0.699260,-1.043150,-1.061886,1.295483,-0.058900,0.090332,0.024492,0.048109,-0.080941,0.080788
0.6725,0.226837,-1.368863,1.642587,-3.609886,-1.771074,-0.064999,-0.169451,-0.023434,-0.019154,0.146188,0.250319,0.027589,-0.692649,-0.299416,0.706959,-1.041913,-1.111280,1.295927,-0.053476,0.093643,0.020460,0.034979,-0.089299,0.082498
1.0287,0.166247,-1.377733,1.635821,-3.558190,-1.681748,-0.055200,-0.169755,-0.026589,-0.019786,0.142902,0.249767,0.028877,-0.710541,-0.265704,0.714527,-1.045206,-1.160102,1.298815,-0.047416,0.097569,0.018778,0.021896,-0.098533,0.082428
1.3641,0.108396,-1.386179,1.629214,-3.509164,-1.596565,-0.045781,-0.169947,-0.025183,-0.018835,0.144528,0.250081,0.027328,-0.725574,-0.232489,0.721008,-1.053312,-1.206517,1.303359,-0.037844,0.100545,0.021126,0.007439,-0.095529,0.081960
1.7042,0.051392,-1.394869,1.622820,-3.460571,-1.512633,-0.036372,-0.170545,-0.023611,-0.019609,0.144071,0.249724,0.026960,-0.738317,-0.197555,0.727746,-1.065315,-1.251805,1.311085,-0.031554,0.102634,0.019561,-0.006498,-0.099761,0.081440
2.0675,-0.011082,-1.404177,1.615810,-3.407470,-1.420623,-0.026268,-0.170213,-0.024830,-0.019165,0.144562,0.250929,0.027286,-0.748915,-0.160017,0.734642,-1.082339,-1.297726,1.322294,-0.025547,0.104821,0.016214,-0.022861,-0.108403,0.081182
2.4206,-0.070299,-1.412703,1.609107,-3.357086,-1.333430,-0.016622,-0.169392,-0.026699,-0.018819,0.145544,0.250411,0.027079,-0.756574,-0.123336,0.741081,-1.102598,-1.339201,1.336359,-0.012952,0.085765,0.014996,-0.029169,-0.084973,0.068358
2.7627,-0.117250,-1.419861,1.603856,-3.317279,-1.264398,-0.008944,-0.064348,-0.008125,-0.007943,0.056205,0.098815,0.010443,-0.759826,-0.102058,0.744565,-1.116059,-1.362213,1.346178,-0.002313,0.015896,0.002348,-0.005531,-0.014161,0.009335
3.1080,-0.127764,-1.421109,1.602773,-3.308349,-1.248910,-0.007450,0.000000,-0.000031,-0.000711,-0.000234,-0.000640,0.000134,-0.760112,-0.100176,0.744867,-1.117159,-1.363965,1.346851,0.000955,-0.000509,0.001327,-0.000779,0.001721,0.000341
3.4523,-0.127706,-1.421327,1.602654,-3.308358,-1.248930,-0.007271,0.000000,0.000000,-0.000197,-0.000058,-0.000077,0.000207,-0.760003,-0.100236,0.745031,-1.117030,-1.363818,1.347044,0.000006,0.000005,0.000077,-0.000112,0.000131,-0.000060
3.8052,-0.127702,-1.421330,1.602618,-3.308342,-1.248937,-0.007208,0.000000,0.000000,-0.000102,-0.000038,-0.000038,0.000173,-0.760002,-0.100243,0.745032,-1.117071,-1.363786,1.347103,0.000003,0.000003,0.000068,-0.000150,0.000087,-0.000041
