# 轨迹段 196
# 起点关节(rad): [-0.3458645979510706, -1.7535082975970666, 1.9418943405151368, -3.3692794005023403, -1.283401409779684, 0.010751347988843918]
# 终点关节(rad): [-0.012261215840474904, -1.5192402998553676, 1.501955509185791, -2.9542835394488733, -1.4886864821063441, -0.016732136403219043]
# 指令位姿: [-0.7138852528129812, -0.16600164292648245, 0.8478115109853658, -1.2909721370847156, -1.3932031501917865, 1.1759631398346122]
t,j1,j2,j3,j4,j5,j6,jv1,jv2,jv3,jv4,jv5,jv6,x,y,z,rx,ry,rz,vx,vy,vz,wx,wy,wz
0.0000,-0.345805,-1.753453,1.941770,-3.369174,-1.283497,0.010737,0.027540,0.020614,-0.037514,0.034906,-0.018657,-0.003014,-0.568268,-0.002286,0.743050,-1.206416,-1.143613,1.186822,-0.036462,-0.020956,0.024861,-0.006468,-0.040216,0.025480
0.3252,-0.323660,-1.737804,1.912245,-3.341626,-1.297178,0.008937,0.156052,0.109288,-0.205950,0.192277,-0.096591,-0.014500,-0.589287,-0.016361,0.757878,-1.220674,-1.170443,1.190939,-0.095707,-0.072850,0.067787,-0.019831,-0.114654,0.074291
0.6915,-0.258406,-1.692010,1.826552,-3.260496,-1.337174,0.003505,0.189534,0.132533,-0.250264,0.235420,-0.117350,-0.015041,-0.623315,-0.044083,0.781635,-1.243135,-1.218206,1.193971,-0.089748,-0.086353,0.063259,-0.007337,-0.116761,0.074691
1.0526,-0.191087,-1.644693,1.737705,-3.176433,-1.378730,-0.002018,0.189935,0.133474,-0.250770,0.235313,-0.115850,-0.014757,-0.653326,-0.074943,0.802804,-1.261182,-1.266534,1.193322,-0.082737,-0.098214,0.059174,0.004758,-0.117987,0.074475
1.3964,-0.125847,-1.598984,1.651514,-3.095632,-1.418906,-0.007381,0.189539,0.132160,-0.252409,0.235144,-0.116905,-0.015489,-0.681080,-0.110478,0.822750,-1.276105,-1.318021,1.188761,-0.073603,-0.109910,0.055306,0.017935,-0.117009,0.075921
1.7412,-0.060631,-1.553167,1.565581,-3.014350,-1.458931,-0.012758,0.169456,0.118871,-0.224577,0.212299,-0.105078,-0.013338,-0.704315,-0.147718,0.840176,-1.287354,-1.369193,1.180528,-0.041969,-0.079597,0.032971,0.017850,-0.080051,0.052653
2.0862,-0.016871,-1.522355,1.508074,-2.959801,-1.485874,-0.016121,0.034364,0.023761,-0.045774,0.043350,-0.021219,-0.003869,-0.713797,-0.165845,0.847742,-1.291152,-1.392947,1.176084,0.000112,-0.000154,-0.000210,0.003009,0.000738,0.000060
2.4441,-0.012247,-1.519260,1.501960,-2.954283,-1.488646,-0.017116,0.000000,-0.000087,0.000141,-0.000130,-0.000107,-0.000345,-0.713834,-0.166013,0.847799,-1.290615,-1.393446,1.175701,0.000042,0.000006,-0.000013,-0.000665,0.000000,-0.000192
2.7882,-0.012247,-1.519257,1.501975,-2.954269,-1.488667,-0.016739,0.000000,-0.000038,0.000043,-0.000054,-0.000042,0.000234,-0.713833,-0.166015,0.847820,-1.290901,-1.393265,1.175979,0.000023,0.000003,0.000031,-0.000113,0.000067,-0.000059
3.1471,-0.012252,-1.519252,1.501963,-2.954257,-1.488650,-0.016744,0.000000,-0.000023,-0.000013,-0.000019,0.000000,0.000058,-0.713834,-0.166013,0.847814,-1.290891,-1.393245,1.175954,0.000012,-0.000000,0.000020,-0.000045,0.000041,-0.000008
