# 轨迹段 197
# 起点关节(rad): [-0.012254063283101857, -1.5192379156695766, 1.5019245147705078, -2.954271427785055, -1.4886743704425256, -0.01675111452211553]
# 终点关节(rad): [-0.04147321382631475, -1.2426737944232387, 1.5566853523254394, -3.670294968281881, -1.4621060530291956, 0.02004578821361065]
# 指令位姿: [-0.8111556321693579, -0.14312546357704972, 0.6641169724352963, -1.019948318413439, -1.0964009597192397, 1.3608752855861135]
t,j1,j2,j3,j4,j5,j6,jv1,jv2,jv3,jv4,jv5,jv6,x,y,z,rx,ry,rz,vx,vy,vz,wx,wy,wz
0.0006,-0.012256,-1.519211,1.501922,-2.954463,-1.488665,-0.016737,-0.000424,0.014726,0.000225,-0.036298,0.000000,0.002918,-0.714519,-0.165941,0.847176,-1.289416,-1.391412,1.177193,-0.017686,0.002151,-0.018538,-0.005085,0.049631,-0.001688
0.3306,-0.013481,-1.507141,1.504124,-2.985106,-1.487715,-0.015265,-0.010106,0.079688,0.015997,-0.206627,0.009296,0.010485,-0.724553,-0.164300,0.835494,-1.270928,-1.369455,1.192464,-0.044566,0.007462,-0.055168,-0.011593,0.136319,-0.003535
0.6890,-0.016991,-1.474806,1.510729,-3.069540,-1.484490,-0.010790,-0.010436,0.095375,0.018778,-0.249667,0.009798,0.012448,-0.740425,-0.161661,0.815031,-1.238546,-1.331972,1.218274,-0.040860,0.006930,-0.057423,-0.012347,0.136104,-0.000348
1.0473,-0.020528,-1.440361,1.517418,-3.158507,-1.481181,-0.006209,-0.010183,0.097027,0.020507,-0.249395,0.013499,0.011885,-0.754971,-0.158955,0.793779,-1.205722,-1.294741,1.243068,-0.039921,0.008065,-0.064157,-0.010566,0.128516,-0.000107
1.3963,-0.024252,-1.406656,1.524292,-3.245653,-1.477917,-0.001829,-0.010730,0.096896,0.018211,-0.248773,0.010048,0.014281,-0.768001,-0.156069,0.772083,-1.173494,-1.258743,1.266120,-0.034954,0.008252,-0.063069,-0.008212,0.134929,-0.002604
1.7433,-0.027884,-1.372662,1.530858,-3.333694,-1.474687,0.002726,-0.009434,0.094649,0.018106,-0.250687,0.011420,0.012510,-0.779807,-0.153289,0.749396,-1.140046,-1.222199,1.288769,-0.030531,0.008277,-0.065131,-0.008369,0.134629,-0.002226
2.1029,-0.031314,-1.338405,1.537731,-3.422549,-1.471320,0.007254,-0.010111,0.095017,0.018886,-0.250185,0.009944,0.013116,-0.790314,-0.150474,0.725946,-1.105811,-1.185638,1.310740,-0.028053,0.007449,-0.069210,-0.008414,0.131373,0.003380
2.4482,-0.034891,-1.304641,1.544300,-3.509804,-1.468123,0.011701,-0.010832,0.097735,0.019211,-0.249698,0.008644,0.013346,-0.799664,-0.147465,0.701583,-1.071686,-1.149583,1.331457,-0.025298,0.008831,-0.072978,-0.008240,0.129943,-0.001190
2.7935,-0.038603,-1.271407,1.550886,-3.595728,-1.464970,0.016095,-0.009754,0.092537,0.017160,-0.240777,0.011171,0.013020,-0.807520,-0.144552,0.677354,-1.038293,-1.114772,1.350683,-0.013785,0.005061,-0.051595,-0.002454,0.100192,0.002000
3.1510,-0.041054,-1.246085,1.555842,-3.661323,-1.462679,0.019314,-0.002692,0.023513,0.004377,-0.067637,0.003275,0.004345,-0.810972,-0.143247,0.664704,-1.020305,-1.096768,1.360472,-0.000402,0.000595,-0.002489,-0.000569,0.004022,0.000491
3.5009,-0.041461,-1.242832,1.556549,-3.670312,-1.462144,0.019940,0.000000,-0.000184,0.000603,0.000157,0.000188,0.000364,-0.811055,-0.143155,0.664235,-1.019825,-1.096297,1.360947,0.000034,-0.000011,-0.000115,-0.000175,-0.000305,0.000143
3.8621,-0.041457,-1.242681,1.556613,-3.670302,-1.462169,0.019976,0.000000,0.000286,0.000184,0.000058,0.000058,0.000096,-0.811126,-0.143172,0.664104,-1.019975,-1.096433,1.360930,-0.000060,-0.000001,-0.000166,-0.000096,-0.000278,0.000058
4.2091,-0.041476,-1.242686,1.556645,-3.670309,-1.462140,0.020012,-0.000026,0.000051,0.000115,0.000031,0.000038,0.000077,-0.811122,-0.143159,0.664098,-1.020006,-1.096424,1.360937,-0.000022,0.000020,-0.000094,-0.000077,-0.000165,0.000010
